"","Area of permanent forest estate (1 000 ha)","Area of permanent forest estate (1 000 ha)","Area of permanent forest estate (1 000 ha)","Area of permanent forest estate (1 000 ha)","Area of permanent forest estate (1 000 ha)"
"Marshall Islands","","","","",""
"Martinique","47.84","48.74","50.29","51.29","52.29"
"Mauritania","83.00","83.00","83.00","83.00","83.00"
"Mauritius","","","","",""
"Mayotte","19.25","14.79","10.41","10.05","9.77"
"Mexico","13366.33","13407.14","13497.28","13520.18","13548.03"
"Micronesia (Federated States of)","","","","",""
"Monaco","","","","",""
"Mongolia","14352.00","14263.90","14183.90","14178.33","14178.33"
"Montenegro","","","","826.78","826.78"
"Montserrat","1.16","1.16","1.16","1.16","1.13"
"Morocco","5152.46","5213.44","5219.99","5223.32","5208.71"
"Mozambique","","","","",""
"Myanmar","","","20041.36","20616.78","20616.78"
"Namibia","","","","",""
"Nauru","","","","",""
"Nepal","5672.00","5780.76","5962.03","5962.03","5962.03"
"Netherlands (Kingdom of the)","345.33","359.50","373.48","364.83","367.08"
"New Caledonia","","","","",""
"New Zealand","3180.00","3426.00","3672.00","3566.00","3566.00"
"Nicaragua","","","","",""
"Niger","","","","",""
"Nigeria","4105.80","4105.00","4105.00","4105.00","4105.80"
"Niue","5.40","5.40","5.40","5.40","5.40"
"Norfolk Island","","","","",""
"North Macedonia","","","","",""
"Northern Mariana Islands","","","","",""
"Norway","","","","",""
"Oman","","","","",""
"Pakistan","3036.05","3036.05","3036.05","3036.05","3036.05"
"Palau","","","","",""
"Palestine","","","","",""
"Panama","","","","",""
"Papua New Guinea","","","","5035.90","5035.90"
"Paraguay","","","","",""
"Peru","","","","",""
"Philippines","6561.36","6461.57","6361.77","6479.88","6686.75"
"Pitcairn","","","","",""
"Poland","8882.00","9059.00","9329.00","9420.00","9464.20"
"Portugal","1332.21","1266.92","1245.27","1255.27","1264.07"
"Puerto Rico","","","","",""
"Qatar","","","","",""
"Republic of Korea","4901.00","4977.00","4947.00","4789.00","4987.00"
"Republic of Moldova","325.40","344.40","374.50","386.40","373.20"
"Réunion","48.71","48.71","48.71","50.71","51.66"
"Romania","6371.00","6366.00","6515.00","6900.96","6929.05"
"Russian Federation","811641.29","812445.37","821501.93","823206.17","828432.20"
"Rwanda","","","","",""
"Saint Barthélemy","0.00","0.00","0.00","0.00","0.00"
"Saint Kitts and Nevis","","","4.03","4.03","4.03"
"Saint Lucia","7.41","9.31","10.44","10.44","10.44"
"Saint Martin (French Part)","0.14","0.14","0.14","0.14","0.14"
"Saint Pierre and Miquelon","1.87","1.63","1.38","1.26","1.21"
"Saint Vincent and the Grenadines","4.53","4.53","4.53","4.53","4.53"
"Samoa","","","18.39","18.39","18.39"
"San Marino","","","","",""
"Sao Tome and Principe","","","29.50","29.50","29.50"
"Saudi Arabia","","","","",""
"Senegal","2509.18","2464.38","2419.58","2397.18","2374.90"
"Serbia","2313.00","2483.20","2879.99","3078.40","3276.80"
"Seychelles","","","","",""
"Sierra Leone","285.00","285.00","285.00","285.00","285.00"
"Singapore","3.35","3.35","3.35","3.35","3.35"
"Sint Maarten (Dutch part)","","","","",""
"Slovakia","1902.48","1901.41","1917.91","1921.75","1925.90"
"Slovenia","","","","",""
"Solomon Islands","0.00","0.00","11.90","31.20","31.20"
"Somalia","","","","",""
"South Africa","1818.00","1853.00","1794.00","1788.00","1788.00"
"South Sudan","","","","",""
"Spain","13904.66","17093.93","18545.34","18551.18","18572.17"
"Sri Lanka","","","803.38","909.59","955.26"
"Sudan","4187.27","9694.00","11449.00","11849.00","11849.00"
"Suriname","11452.60","11442.56","11431.52","11425.01","11392.58"
"Svalbard and Jan Mayen Islands","","","","",""
"Sweden","","","","",""
"Switzerland","1153.50","1196.18","1234.72","1248.70","1257.86"
"Syrian Arab Republic","376.52","460.77","511.98","527.27","527.65"
"Tajikistan","408.00","410.00","410.00","421.80","423.00"
"Thailand","20235.00","20165.00","20095.00","20060.00","19873.00"
"Timor-Leste","","","","",""
"Togo","792.34","792.34","792.34","792.34","792.34"
"Tokelau","","","","",""
"Tonga","6.70","6.70","6.70","6.70","6.70"
"Trinidad and Tobago","","","","","75.90"
"Tunisia","643.98","667.84","703.43","704.93","699.00"
"Türkiye","19783.48","20148.35","21083.08","21630.26","22220.36"
"Turkmenistan","","","","",""
"Turks and Caicos Islands","","","","",""
"Tuvalu","","","","",""
"Uganda","1900.00","1900.00","1900.00","1900.00","1900.00"
"Ukraine","","","","",""
"United Arab Emirates","314.77","314.97","319.55","321.22","322.90"
"United Kingdom of Great Britain and Northern Ireland","2778.00","2954.00","3059.00","3155.00","3215.00"
"United Republic of Tanzania","26236.03","26236.03","26236.03","26236.03","26236.03"
"United States of America","124166.00","124549.00","129974.00","129976.00","130318.00"
"United States Virgin Islands","","","","",""
"Uruguay","","","","",""
"Uzbekistan","1059.50","1059.50","3023.10","3245.70","3350.00"
"Vanuatu","","","","",""
"Venezuela (Bolivarian Republic of)","32179.38","39947.02","37501.37","37501.00","37400.41"
"Viet Nam","9375.96","11784.10","13211.96","13907.81","14531.37"
"Wallis and Futuna Islands","0.00","0.00","0.09","0.09","0.09"
"Western Sahara","","","","",""
"Yemen","","","","",""
"Zambia","8077.00","8077.00","7055.00","6910.00","6861.00"
"Zimbabwe","800.00","800.00","800.00","800.00","800.00"
"© FRA 2026","","","","",""
