"","Most recent year:","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","#6 Ranked","#6 Ranked","#6 Ranked","#7 Ranked","#7 Ranked","#7 Ranked","#8 Ranked","#8 Ranked","#8 Ranked","#9 Ranked","#9 Ranked","#9 Ranked","#10 Ranked","#10 Ranked","#10 Ranked","Remaining native tree species","Remaining native tree species","Remaining native tree species","TOTAL native tree species","TOTAL native tree species","TOTAL native tree species","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","Remaining introduced tree species","Remaining introduced tree species","Remaining introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","Total growing stock","Total growing stock","Total growing stock"
"","Most recent year:","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest"
"Azerbaijan","2023","Бук восточный","52.39","31.69","Граб","43.02","26.03","Дуб","38.70","23.41","Тополь","5.92","3.58","Можжевельник","3.90","2.36","Ольха","3.09","1.87","Липа","2.83","1.71","Вяз","1.92","1.16","Клён","0.36","0.22","Ясень","0.02","0.01","","13.15","7.96","","165.3","100.00","","","","","","","","","","","","","","","","","","","","","","","165.3",""
"Bahamas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","","السمر","","","السلم","","","لسدر","","","الغاف","","","لعلعلان","","","الصمغ العربي","","","السرح","","","اثب","","","عضب","","","ضبيان","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","2016","Sal","11.65","6.00","Keora","9.71","5.00","Mango","7.22","3.72","Sundri","3.49","1.80","Gewa","2.69","1.39","Gamar","1.90","0.98","Shil Koroi","0.73","0.38","Koroi","0.50","0.26","","0.43","0.22","Baen","0.40","0.21","","69.63","35.85","","108.35","55.79","Jackfruit","6.68","3.44","Mahogani","5.95","3.06","Akashmoni","2.64","1.36","Rain tree","2.58","1.33","Betelnut palm","2.39","1.23","","65.62","33.79","","85.86","44.21","","194.21",""
"Barbados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","2023","Common Pine","1033.23","54.35","Common Birch","358.84","18.87","Norway Spruce","205.90","10.83","European aspen","50.33","2.65","Common Alder","164.40","8.65","Pedunculate Oak","53.69","2.82","Grey alder","26.08","1.37","Common Ash","2.48","0.13","European Hornbeam","4.24","0.22","Norway Maple","2.04","0.11","","","","","1901.23","100.00","дуб красный","","","сосна Веймутова","","","бук лесной","","","клен ясенелистный, или американский","","","сосна кедровая сибирская","","","","","","","","","","1901.23",""
"Belgium","2018","Chêne sessile - Ch.pédonculé","36.16","20.25","Hêtre","22.57","12.64","Pin sylvestre","11.53","6.46","Bouleau verruqueux - B. pubescent","6.67","3.73","Frêne","5.63","3.15","Erable sycomore","4.02","2.25","Charme","3.41","1.91","Aulne glutineux","2.66","1.49","Saule marsault","1.54","0.86","Mersisier","0.88","0.49","","3.23","1.81","","98.3","55.04","Epicéa commun","50.20","28.11","Douglas","8.30","4.65","Peupliers hybrides","6.54","3.66","Pin noir","4.46","2.50","Mélèzes européen, japonais et hybride","3.84","2.15","","6.95","3.89","","80.29","44.96","","178.59",""
"Belize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bermuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
