"","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)"
"","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025"
"Australia","1022.90","1484.70","2008.90","1973.40","1774.67","1716.04","","","","","","","15091.35","17347.78","22806.04","21508.70","22001.97","22053.68","","","","","","","11485.45","9199.58","11058.03","9728.16","9948.77","9975.53","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","106974.95","104875.23","95298.17","99297.26","99565.72","99816.34","134574.65","132907.29","131171.14","132507.52","133291.13","133561.59"
"Austria","2621.07","2635.04","2308.26","2199.48","2207.47","2171.89","1119.11","1137.62","1411.04","1444.48","1449.74","1482.32","0.00","30.24","107.16","187.59","188.27","200.88","35.49","35.24","35.18","44.18","44.34","48.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3775.67","3838.14","3861.64","3875.73","3889.82","3903.91"
"Azerbaijan","","","","","","","","","","","","","70.00","371.00","371.00","371.00","371.00","371.00","","","","","","","","","","","","","","","","","","","","","","","","","874.74","616.22","661.49","706.89","790.19","842.66","944.74","987.22","1032.49","1077.89","1161.19","1213.66"
"Bahamas","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","509.86","509.86","509.86","509.86","509.86","509.86","509.86","509.86","509.86","509.86","509.86","509.86"
"Bahrain","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.54","0.54","0.54","0.54","0.54","0.54","0.00","0.00","0.00","0.00","0.00","0.00","0.83","0.83","0.83","0.83","1.43","3.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.37","1.37","1.37","1.37","1.97","4.37"
"Bangladesh","","","","79.99","79.99","79.99","","","","","","","66.89","73.57","261.20","265.42","456.00","457.00","","","","","","","","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","1918.42","1846.76","1627.04","1537.89","1342.37","1336.43","1985.31","1920.33","1888.24","1883.30","1878.36","1873.42"
"Barbados","","","","","","","","","","","","","","","0.30","0.30","0.30","0.30","","","","","","","","","","","","","","","","","","","","","","","","","6.30","6.30","6.00","6.00","6.00","6.00","6.30","6.30","6.30","6.30","6.30","6.30"
"Belarus","4498.00","4183.00","4317.00","4294.00","4376.00","4376.00","622.00","1244.00","1257.00","1343.00","1430.00","1430.00","357.00","487.00","1094.00","1116.00","1364.00","1364.00","1234.00","1261.00","1542.00","1546.00","1290.00","1290.00","0.00","0.00","0.00","0.00","0.00","0.00","1069.00","1098.00","420.00","334.50","307.60","307.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.45","207.80","7780.00","8273.00","8630.00","8633.50","8843.05","8975.40"
"Belgium","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.40","13.34","13.34","0.00","0.00","0.00","0.00","0.00","0.00","677.40","667.30","681.20","676.90","657.18","657.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.67","0.00","0.00","0.00","677.40","667.30","689.87","689.30","670.52","670.52"
"Belize","","331.15","331.15","331.15","331.15","331.15","","","","","","","","410.54","425.00","431.45","426.08","426.08","","","","","","","","","","","","","","","","","","","","","","","","","1579.83","762.24","671.88","627.77","595.48","557.82","1579.83","1503.93","1428.03","1390.37","1352.71","1315.05"
"Benin","1417.54","1417.54","1417.54","1417.54","1417.54","1417.54","2.73","2.73","2.73","2.73","2.73","2.73","1263.00","1263.00","1263.00","1263.00","1263.00","1263.00","223.47","223.47","223.47","223.47","223.47","223.47","","","","","","","","","","","","","","","","","","","4073.38","2767.53","1357.48","600.35","413.44","226.53","6980.12","5674.27","4264.22","3507.09","3320.18","3133.27"
"Bermuda","","","","","","","","","","","","","","","","","","","0.03","0.03","0.03","0.03","0.03","0.03","","","","","","","","","","","","","","","","","","","0.75","0.75","0.75","0.75","0.75","0.75","0.78","0.78","0.78","0.78","0.78","0.78"
"Bhutan","46.99","140.64","235.05","273.34","368.03","539.92","0.00","0.00","0.00","0.00","0.00","0.00","1104.20","1104.20","1104.20","1104.20","1104.20","1116.51","0.00","0.00","0.00","0.00","0.00","0.00","1355.53","1361.16","1366.04","1337.64","1244.93","1018.31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2506.72","2606.00","2705.29","2715.18","2717.16","2674.74"
"Bolivia (Plurinational State of)","","28190.63","28190.63","28190.63","28190.63","28190.63","","","","","","","","10680.19","10680.19","10680.19","10680.19","10680.19","","","","","","","","","","","","","","","","","","","","","","","","","61774.24","20215.15","18628.93","17816.36","16698.25","15499.45","61774.24","59085.97","57499.75","56687.18","55569.07","54370.27"
"Bonaire, Sint Eustatius and Saba","","","","","","","","","","","","","0.32","0.32","0.32","0.32","0.32","0.32","","","","","","","","","","","","","","","","","","","","","","","","","3.89","3.89","3.89","3.89","3.89","3.89","4.21","4.21","4.21","4.21","4.21","4.21"
"Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2210.00","2111.65","2102.66","2160.50","2156.88","2162.08","2210.00","2111.65","2102.66","2160.50","2156.88","2162.08"
"Botswana","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15727.90","15727.90","15727.90","15727.90","15730.20","15730.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15727.90","15727.90","15727.90","15727.90","15730.20","15730.20"
"Brazil","24122.63","28332.34","35642.45","38937.83","43463.86","44182.62","12875.32","12875.32","12875.32","12875.32","12875.32","12875.32","51554.98","47642.47","44806.56","39743.26","40870.67","37857.57","94916.56","111642.93","126592.31","140286.44","143318.67","153458.84","","","","","","","2476.52","2511.81","2531.87","2595.20","2567.15","2600.02","84179.72","75203.39","64566.15","65060.69","55589.82","52762.55","348317.53","282512.11","238072.78","216010.19","203681.39","182349.72","618443.26","560720.37","525087.44","515508.93","502366.88","486086.64"
"British Virgin Islands","","","","","","","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","0.18","0.26","0.26","0.26","0.26","0.26","","","","","","","","","","","","","9.79","9.70","9.69","9.68","9.68","9.68","10.00","9.99","9.98","9.97","9.97","9.97"
"Brunei Darussalam","138.03","138.03","138.03","138.03","138.03","138.03","18.56","18.56","18.56","18.56","18.56","18.56","28.51","28.51","28.51","28.51","28.51","28.51","50.42","50.42","50.81","50.81","50.81","50.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","177.48","161.48","144.09","144.09","144.09","144.09","413.00","397.00","380.00","380.00","380.00","380.00"
"Bulgaria","2365.00","2258.00","2387.00","1496.00","1317.00","1138.00","430.00","433.00","439.00","359.00","315.00","271.00","132.00","245.00","572.00","704.00","596.00","596.00","222.00","222.00","219.00","225.00","179.00","133.00","178.00","217.00","120.00","1049.00","1489.00","1821.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3327.00","3375.00","3737.00","3833.00","3896.00","3959.00"
"Burkina Faso","254.33","244.36","234.39","229.41","224.42","219.44","0.00","0.00","0.00","0.00","0.00","0.00","564.21","546.32","528.44","519.49","510.55","501.61","0.43","0.41","0.39","0.38","0.37","0.36","7480.14","5586.88","4271.65","3686.29","3100.93","2515.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8299.11","6377.97","5034.87","4435.57","3836.27","3236.97"
"Burundi","10.00","10.00","15.00","15.00","15.00","15.00","11.51","8.10","16.67","16.67","16.67","16.67","16.38","16.38","16.38","16.38","16.38","16.38","","","","","","","","","","","","","","","","","","","","","","","","","238.59","159.46","145.89","231.59","231.59","231.59","276.48","193.94","193.94","279.64","279.64","279.64"
