"","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)"
"","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025"
"Ecuador","44.44","70.15","84.82","126.90","120.92","120.15","0.00","0.00","0.00","0.00","0.00","0.00","2565.52","3256.32","3825.36","4760.38","4886.52","4858.37","0.00","0.00","0.00","0.00","0.00","0.00","1938.95","2463.78","1703.64","2468.62","1837.81","1327.61","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","10083.30","7940.25","7414.55","5463.30","5615.84","6004.19","14632.21","13730.50","13028.37","12819.20","12461.09","12310.32"
"Egypt","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.53","0.53","0.70","0.70","0.70","0.70","0.00","0.00","0.00","0.00","0.00","0.00","3.38","3.38","3.38","3.38","3.38","4.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.91","3.91","4.08","4.08","4.08","4.11"
"El Salvador","5.76","7.04","8.32","8.58","8.73","8.88","","","","","","","","","18.39","18.39","18.39","18.39","","","","","","","","","","","","","","","","","","","","","","","","","729.75","698.77","649.40","649.52","653.54","657.57","735.51","705.81","676.11","676.49","680.66","684.84"
"Equatorial Guinea","141.00","853.00","838.85","828.53","520.86","500.00","24.12","24.12","24.12","24.12","24.12","24.12","0.00","516.89","516.89","516.89","516.89","516.89","","","","","","","0.00","866.00","866.00","866.00","866.00","866.00","","","","","","","","","","","","","2534.03","355.57","286.72","254.68","520.55","499.61","2699.15","2615.58","2532.58","2490.22","2448.42","2406.62"
"Eritrea","17.19","17.19","17.19","17.19","17.19","17.19","0.00","0.00","0.00","0.00","0.00","0.00","82.27","82.27","82.27","82.27","82.27","82.27","0.00","0.00","0.00","0.00","0.00","0.00","1551.85","1492.05","1432.26","1402.36","1372.46","1342.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1651.31","1591.51","1531.72","1501.82","1471.92","1442.02"
"Estonia","1628.71","1741.85","1702.97","1777.09","1756.38","1612.14","153.29","256.04","136.38","113.88","116.04","94.20","126.90","137.00","260.21","310.52","392.80","517.28","0.00","0.00","0.00","0.00","0.00","0.00","297.00","104.00","236.46","219.52","178.65","242.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.41","0.00","0.00","2205.90","2238.89","2336.02","2421.42","2443.87","2466.23"
"Eswatini","155.03","150.21","131.50","122.48","137.50","137.50","0.10","0.10","0.21","0.21","0.25","0.25","45.90","67.30","68.20","72.90","80.10","80.10","5.40","6.20","7.00","8.30","8.50","8.50","279.14","246.76","248.66","244.18","214.22","206.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","485.57","470.57","455.57","448.07","440.57","433.07"
"Ethiopia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4736.00","4736.00","4736.00","4736.00","4736.00","4736.00","0.00","0.00","0.00","0.00","0.00","0.00","23801.50","23074.40","22345.40","22050.20","22030.70","22011.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28537.50","27809.40","27081.40","26786.20","26766.70","26747.10"
"Falkland Islands (Malvinas)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Faroe Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.08","0.08","0.08","0.08","0.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.08","0.08","0.08","0.08","0.08"
"Fiji","84.77","125.48","166.18","186.53","206.90","227.41","","","","","","","","","","","","","","","","","","","","","","","28.47","28.47","","","","","","","","","","","","","854.92","880.99","900.93","903.75","878.07","880.72","939.69","1006.47","1067.11","1090.28","1113.44","1136.60"
"Finland","20640.13","19100.44","18961.50","18591.70","18601.90","18586.80","0.00","0.00","0.00","0.00","0.00","0.00","1235.20","2692.70","2970.40","3117.00","3255.00","3306.00","0.00","0.00","0.00","345.00","345.00","345.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","652.00","310.10","355.30","341.10","327.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","0.00","0.00","21875.33","22445.64","22242.00","22409.00","22543.00","22565.70"
"France","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14436.00","15288.00","16419.00","16836.00","17348.00","17795.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14436.00","15288.00","16419.00","16836.00","17348.00","17795.00"
"French Guiana","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8125.00","8079.44","8036.50","8020.00","8002.85","7981.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8125.00","8079.44","8036.50","8020.00","8002.85","7981.95"
"French Polynesia","2.78","6.08","6.21","6.21","6.21","6.21","1.65","2.47","3.25","3.25","3.25","3.25","6.57","7.40","7.40","7.40","7.40","7.40","","","","","","","","","","","","","","","","","","","","","","","","","133.43","132.60","132.60","132.60","132.60","132.60","144.43","148.55","149.46","149.46","149.46","149.46"
"Gabon","5045.23","11887.74","11000.00","15200.00","16502.99","15684.83","0.00","0.00","0.00","0.00","0.00","0.00","1790.00","1826.00","5124.77","5124.77","5124.77","4870.58","21.76","21.76","21.76","21.76","21.76","21.76","0.00","0.00","7513.05","3252.42","1915.77","2956.38","0.00","0.00","0.00","0.00","0.00","0.00","16917.00","9965.88","0.00","0.00","0.00","0.00","0.24","0.24","23.68","23.68","23.68","21.76","23774.23","23701.62","23683.26","23622.63","23588.97","23555.31"
"Gambia","1.77","1.77","1.77","1.77","1.77","1.77","0.00","0.00","0.00","0.00","0.00","0.00","76.06","76.06","76.06","76.06","76.06","76.06","0.00","0.00","0.00","0.00","0.00","0.00","336.83","280.04","222.17","193.24","164.31","131.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.07","0.00","0.00","0.00","0.00","0.00","414.73","357.87","300.00","271.07","242.14","209.47"
"Georgia","566.40","566.40","587.50","587.50","587.50","587.50","982.87","1607.85","1635.42","1612.90","1285.53","1285.53","145.32","222.78","227.77","273.70","601.07","601.07","1057.71","363.57","371.71","348.30","348.30","348.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","278.10","278.10","278.10","278.10","278.10","278.10","3030.40","3038.70","3100.50","3100.50","3100.50","3100.50"
"Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11300.00","11354.00","11409.00","11433.40","11457.40","11481.40","11300.00","11354.00","11409.00","11433.40","11457.40","11481.40"
"Ghana","4122.00","4375.98","4629.59","4756.40","4883.20","5227.38","352.50","352.50","352.50","352.50","352.50","352.50","1103.17","1171.03","1238.90","1272.84","1285.00","1358.08","89.01","72.83","57.04","53.67","53.67","53.67","139.48","191.02","242.53","263.75","303.39","64.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5806.16","6163.36","6520.56","6699.16","6877.76","7056.36"
"Gibraltar","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Greece","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3708.90","3708.90","3720.80","4098.00","4762.80","4762.80","3708.90","3708.90","3720.80","4098.00","4762.80","4762.80"
"Greenland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.22","0.22","0.22","0.22","0.22","0.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.22","0.22","0.22","0.22","0.22","0.22"
"Grenada","0.21","0.21","0.21","0.21","0.21","0.21","","","","","","","2.32","2.32","2.32","2.32","2.32","2.32","","","","","","","","","","","","","","","","","","","","","","","","","15.17","15.17","15.17","15.17","15.17","15.17","17.70","17.70","17.70","17.70","17.70","17.70"
"Guadeloupe","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","73.17","72.27","71.55","72.22","71.92","72.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.68","2.33","3.50","73.17","72.27","71.55","72.90","74.25","75.60"
"Guam","","","","","","","","","","","","","0.49","0.49","0.49","0.49","0.49","0.49","","","","","","","","","","","","","","","","","","","","","","","","","23.51","23.51","23.51","27.78","27.78","27.78","24.00","24.00","24.00","28.27","28.27","28.27"
"Guatemala","","15.60","14.10","15.80","12.10","12.10","","","","","","","2464.21","2183.98","1932.03","1895.66","1803.84","1803.84","","","","","0.90","0.90","","","","","","","","","","","","","","","","","","","2388.20","2027.08","1809.72","1759.77","1784.76","1718.81","4852.41","4226.66","3755.85","3671.23","3601.60","3535.65"
"Guernsey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","0.22","0.37","0.42","0.47","0.47","0.22","0.22","0.37","0.42","0.47","0.47"
"Guinea","118.00","119.00","119.00","119.00","119.00","119.00","590.59","593.00","593.00","593.00","593.00","593.00","3006.00","3006.00","3006.00","3006.00","3006.00","3006.00","0.00","0.00","0.00","0.00","0.00","0.00","472.00","475.00","475.00","475.00","475.00","475.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","3015.62","2339.24","1669.27","1334.28","999.30","664.31","7202.21","6532.24","5862.27","5527.28","5192.30","4857.31"
"Guinea-Bissau","1461.00","1052.00","590.00","590.00","590.00","590.00","","","","","","","463.00","756.00","1120.00","1120.00","1120.00","1120.00","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","333.39","399.12","453.16","431.97","410.78","389.59","2257.39","2207.12","2163.16","2141.97","2120.78","2099.59"
"Guyana","18473.39","16622.00","12417.00","12249.00","10979.00","12143.00","","","","","","","","151.00","405.00","1091.00","1091.00","1092.00","","","","","","","","","","","","","","","","","","","","","","","","","128.76","1791.22","5697.81","5121.36","6345.34","5142.19","18602.15","18564.22","18519.81","18461.36","18415.34","18377.19"
"Haiti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369.20","384.20","380.20","364.30","365.10","372.10","369.20","384.20","380.20","364.30","365.10","357.65"
"Holy See","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Honduras","","56.91","230.90","306.83","240.31","303.19","","58.18","396.39","426.04","448.20","462.78","","","","","2142.70","2142.70","","","","","","","","","","","","","","","","","","","","","","","","","7644.21","7014.38","6117.40","5794.13","3281.22","2952.66","7644.21","7129.47","6744.69","6527.00","6112.43","5861.33"
"Hungary","1443.21","1248.03","1260.78","1248.61","1205.63","1204.37","170.30","142.63","175.60","183.34","194.96","208.26","76.88","388.75","468.59","491.40","529.12","551.72","47.58","32.60","21.86","20.76","20.38","19.53","0.00","0.00","0.00","0.00","0.00","0.00","75.93","109.16","119.57","116.71","106.91","103.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1813.90","1921.17","2046.39","2060.82","2057.00","2087.37"
"Chad","5577.08","5199.74","4369.74","3730.16","2808.09","2168.52","11.00","11.00","18.30","18.30","21.00","21.00","1142.00","1142.00","1142.00","1142.00","1421.80","1421.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6730.08","6352.74","5530.04","4890.46","4250.89","3611.32"
"Chile","5432.25","5635.70","5959.30","6269.58","6464.19","6211.37","2723.86","2825.88","2988.14","3143.72","3253.52","4921.87","2879.77","2987.63","3159.17","3323.66","3439.76","4667.61","0.00","0.00","0.00","0.00","0.00","0.00","4210.17","4367.85","4618.65","4859.12","5028.85","2361.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1564.90","1607.53","1312.96","621.01","0.00","0.00","16810.95","17424.59","18038.22","18217.09","18186.32","18161.90"
"China","78357.18","77796.11","61795.94","64836.90","64668.27","64288.00","17340.12","28657.28","46723.04","46329.32","45634.14","44791.00","3233.68","4357.68","9732.88","11975.04","16830.40","21615.00","730.84","1044.98","2127.42","2567.86","5130.04","7667.00","45833.44","56550.31","67709.68","72830.40","76415.31","79738.00","655.26","1046.84","2375.80","2348.12","3257.45","4153.00","10990.07","7547.35","10145.62","9406.61","7162.39","4901.00","0.00","0.00","0.00","0.00","0.00","0.00","157140.59","177000.55","200610.38","210294.25","219098.00","227153.00"
"Iceland","2.90","8.38","14.36","16.59","23.12","25.41","10.03","11.71","14.41","14.85","16.84","17.66","0.06","0.06","0.13","0.16","0.34","0.37","2.05","4.59","5.97","6.11","6.41","7.07","1.92","4.86","9.56","10.15","9.08","10.01","0.06","0.17","0.17","0.17","0.22","0.24","","","","","","","0.91","2.45","4.14","5.20","0.65","0.72","17.93","32.22","48.74","53.23","56.66","61.48"
"India","16260.00","17189.00","17673.00","18012.00","18389.00","18498.00","10000.00","10571.00","10869.00","11078.00","11309.00","11376.00","9493.00","9708.00","12013.00","12068.00","12810.00","13066.00","0.00","0.00","0.00","0.00","0.00","0.00","28185.00","30123.00","28941.00","29670.00","29801.00","29799.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","63938.00","67591.00","69496.00","70828.00","72309.00","72739.00"
"Indonesia","62342.00","53435.80","49680.00","45183.30","34656.00","37864.20","24301.00","20852.60","22667.00","24020.70","21670.27","21742.11","16415.00","12926.10","15144.00","17421.70","17199.20","17567.90","0.00","0.00","0.00","0.00","13638.90","15407.40","13276.50","4744.10","8814.20","8402.20","8397.53","3387.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","116334.50","91958.60","96305.20","95027.90","95561.90","95969.30"
"Iran (Islamic Republic of)","1000.00","1500.00","1500.00","1500.00","1500.00","1500.00","7377.06","7135.66","6134.98","5726.98","5126.98","5126.98","1510.00","1510.00","1510.00","1510.00","1510.00","1510.00","0.00","0.00","0.00","0.00","0.00","0.00","863.94","605.34","1606.02","2014.02","2614.02","2614.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10751.00","10751.00","10751.00","10751.00","10751.00","10751.00"
"Iraq","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","161.00","164.00","157.30","136.00","125.00","117.00","0.00","0.00","0.00","0.00","0.00","0.00","643.00","654.00","647.00","622.61","600.57","575.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","803.50","817.62","804.30","758.61","725.57","692.55"
"Ireland","311.31","351.96","348.01","346.68","350.59","340.00","0.00","0.00","0.00","0.00","0.00","13.00","38.94","44.03","43.53","43.36","43.85","32.00","0.46","0.52","0.52","0.52","0.52","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","110.93","233.85","328.32","364.11","398.36","445.85","461.64","630.36","720.38","754.67","793.32","832.85"
"Isle of Man","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.46","3.46","3.46","3.46","3.46","3.46","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","0.17","0.17","0.17","0.17","0.21","0.21","3.63","3.63","3.63","3.63","3.67","3.67"
"Israel","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.00","12.00","12.00","27.00","27.00","27.00","26.00","34.00","34.00","0.00","0.00","0.00","6.00","3.50","3.50","105.00","126.00","127.00","118.00","90.50","100.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","132.00","153.00","154.00","165.00","140.00","150.00"
"Italy","294.55","305.84","317.14","730.25","741.55","752.85","","","","188.43","191.34","194.26","93.00","93.00","93.00","187.58","187.58","187.58","","","","43.79","44.46","45.14","","","","","","","","","","","","","7202.00","7970.00","8618.00","7885.00","7928.00","7970.00","0.20","0.41","0.00","0.00","266.58","272.13","7589.75","8369.25","9028.04","8907.00","9359.51","9421.96"
"Jamaica","8.79","8.21","8.29","8.07","7.45","6.82","18.97","19.66","22.68","24.52","26.26","28.00","76.15","71.18","69.07","68.15","67.98","67.81","0.00","0.00","0.00","0.00","0.00","0.00","20.60","20.60","20.60","20.60","20.60","20.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","396.79","403.64","431.90","460.77","511.81","562.86","521.30","523.29","552.54","582.11","634.10","686.09"
"Japan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24950.00","24876.00","24966.00","24944.00","24919.00","24908.00","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","24950.00","24876.00","24966.00","24944.00","24919.00","24908.00"
"Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.60","0.60","0.60","0.60","0.67","0.68","0.60","0.60","0.60","0.60","0.67","0.68"
"Jordan","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.40","3.40","3.40","3.40","3.40","3.40","0.00","0.00","0.00","0.00","0.00","0.00","67.30","67.30","67.30","67.30","67.30","67.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","70.70","70.70","70.70","70.70","70.70","70.70"
"Kazakhstan","0.00","0.00","0.00","0.00","0.00","0.00","2736.30","2449.50","2015.30","2113.80","2156.63","2160.30","82.30","135.50","943.80","1079.40","1121.80","1193.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","343.64","571.93","123.08","115.26","172.58","166.31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3162.24","3156.93","3082.18","3308.46","3451.01","3520.51"
"Kenya","152.79","152.79","152.79","152.79","152.79","152.79","0.00","0.00","0.00","0.00","0.00","0.00","1748.40","1759.90","1725.50","1718.40","1680.30","1680.30","0.00","0.00","0.00","0.00","0.00","0.00","1839.50","1903.61","2000.27","1512.78","1758.46","1902.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","177.79","3740.60","3816.21","3878.47","3383.88","3591.46","3913.81"
"Kiribati","0.00","0.00","0.00","0.00","0.00","0.00","1.07","1.07","1.07","1.07","1.07","1.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.07","1.07","1.07","1.07","1.07","1.07"
"Kuwait","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.08","0.08","0.08","0.08","0.08","0.00","0.00","0.00","0.00","0.00","0.00","3.37","4.91","5.31","6.01","6.22","6.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.45","4.99","5.39","6.09","6.30","6.30"
"Kyrgyzstan","0.00","0.00","0.00","0.00","0.00","0.00","1134.47","1129.60","1148.59","1152.09","1094.86","1095.18","1.95","51.30","78.25","94.85","103.70","103.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","56.60","56.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1136.42","1180.90","1226.84","1246.94","1255.16","1255.48"
"Lao People's Democratic Republic","2313.08","2241.71","2170.34","2123.31","2084.32","2019.19","4970.40","4848.62","4726.84","4618.95","4565.62","4464.43","3626.52","3571.51","3516.50","3487.95","3465.14","3429.94","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3489.28","3388.19","3246.91","3139.21","3097.63","3122.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","14399.28","14050.04","13660.59","13369.40","13212.71","13036.04"
"Latvia","2514.76","2601.23","2638.09","2601.64","2526.64","2514.77","51.00","71.00","171.38","206.38","274.29","289.80","499.39","489.65","490.23","514.10","564.29","592.88","107.85","79.12","72.42","69.32","68.91","69.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.18","0.00","0.00","3173.00","3241.00","3372.12","3398.62","3434.13","3466.96"
"Lebanon","60.68","61.11","61.54","61.75","62.09","62.18","0.00","0.00","0.00","0.00","0.00","0.00","8.27","8.33","8.39","8.42","8.46","8.47","0.00","0.00","0.00","0.00","0.00","0.00","68.97","69.45","69.94","70.19","70.29","70.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","137.92","138.89","139.87","140.36","140.84","141.32"
"Lesotho","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","0.00","0.00","0.00","0.00","0.00","29.52","29.52","29.52","29.52","29.52","29.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.52","34.52","34.52","34.52","34.52","34.52"
"Liberia","200.00","200.00","200.00","200.00","200.00","200.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7808.76","7808.76","7419.78","6836.57","6329.42","6126.52","8008.76","8008.76","7619.78","7036.57","6529.42","6326.52"
"Libya","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.20","10.20","10.20","10.20","10.20","10.20","0.00","0.00","0.00","0.00","0.00","0.00","206.80","203.47","200.14","198.47","196.80","195.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","217.00","213.67","210.34","208.67","207.00","205.33"
"Liechtenstein","1.79","1.29","1.29","1.29","1.29","1.40","1.88","1.88","2.71","2.71","2.71","2.77","0.00","1.55","1.55","1.55","1.55","1.75","0.00","0.00","0.00","0.00","0.00","0.06","1.53","0.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.20","5.38","5.55","5.55","5.55","5.98"
