Country,Code,Forest_1990,Forest_2025,Forest_change,GDP_avg,Region,Income_group,log_GDP,Income_group_order,Outlier_type
Kiribati,KIR,1.32,1.32,0.0,1338.5449635233656,East Asia & Pacific,Lower middle income,7.199338454867889,2,Expected pattern
Kyrgyzstan,KGZ,5.93,6.55,0.6200000000000001,864.572511628471,Europe & Central Asia,Lower middle income,6.76223517856188,2,Expected pattern
Laos,LAO,62.39,56.48,-5.910000000000004,1123.7687044856186,East Asia & Pacific,Lower middle income,7.024443230350863,2,Expected pattern
Lebanon,LBN,13.48,13.81,0.33,5120.612187007364,Middle East & North Africa,Lower middle income,8.541029278660773,2,Expected pattern
Lesotho,LSO,1.14,1.14,0.0,793.3575202838283,Sub-Saharan Africa,Lower middle income,6.676273965285393,2,Expected pattern
Mauritania,MRT,0.9,0.99,0.0899999999999999,1326.8883150275333,Sub-Saharan Africa,Lower middle income,7.190591867284257,2,Expected pattern
Morocco,MAR,12.77,12.76,-0.0099999999999997,2517.7336600167428,Middle East & North Africa,Lower middle income,7.831114434592287,2,Expected pattern
Myanmar,MMR,60.09,41.51,-18.580000000000005,662.1565982939053,East Asia & Pacific,Lower middle income,6.495502081276741,2,Expected pattern
Nepal,NPL,40.1,43.71,3.61,591.6236959503227,South Asia,Lower middle income,6.382870784041135,2,Poor & Reforesting
Nicaragua,NIC,58.99,39.73,-19.260000000000005,1425.48526894231,Latin America & Caribbean,Lower middle income,7.262267574340937,2,Expected pattern
Nigeria,NGA,23.68,18.81,-4.870000000000001,1677.976443244425,Sub-Saharan Africa,Lower middle income,7.425343848337683,2,Expected pattern
Pakistan,PAK,4.49,4.14,-0.3500000000000005,925.1711863189944,South Asia,Lower middle income,6.829978786680576,2,Expected pattern
Papua New Guinea,PNG,76.44,75.14,-1.2999999999999972,1647.8117029451314,East Asia & Pacific,Lower middle income,7.40720344601984,2,Expected pattern
Philippines,PHL,26.09,24.95,-1.1400000000000006,2002.2182111727031,East Asia & Pacific,Lower middle income,7.602010950525231,2,Expected pattern
Samoa,WSM,63.52,57.47,-6.050000000000004,2792.2696003292394,East Asia & Pacific,Lower middle income,7.934610020942987,2,Expected pattern
Senegal,SEN,47.75,44.92,-2.8299999999999983,1110.2714134624246,Sub-Saharan Africa,Lower middle income,7.0123597810498755,2,Expected pattern
Solomon Islands,SLB,90.74,89.82,-0.9200000000000016,1484.6573184589793,East Asia & Pacific,Lower middle income,7.302939262626672,2,Expected pattern
Sri Lanka,LKA,38.31,34.28,-4.030000000000001,2205.5380294002102,South Asia,Lower middle income,7.698726762379882,2,Expected pattern
Tajikistan,TJK,2.94,3.06,0.1200000000000001,589.0816072613007,Europe & Central Asia,Lower middle income,6.37856472628043,2,Expected pattern
Tanzania,TZA,65.66,49.0,-16.659999999999997,660.1296125139512,Sub-Saharan Africa,Lower middle income,6.492436198336829,2,Expected pattern
Tunisia,TUN,4.15,4.43,0.2799999999999993,3142.092089357306,Middle East & North Africa,Lower middle income,8.05264412753861,2,Expected pattern
Uzbekistan,UZB,5.79,8.84,3.05,1385.4404740240027,Europe & Central Asia,Lower middle income,7.233773399846334,2,Poor & Reforesting
