country,code,forest_1990,forest_2025,forest_change,mean_gdp,region,income_group
Ghana,GHA,25.52,31.01,5.490000000000002,1151.3982847116768,Sub-Saharan Africa,Lower middle income
Greece,GRC,28.77,36.95,8.180000000000003,18507.71220788974,Europe & Central Asia,High income
Greenland,GRL,0.0,0.0,0.0,35956.47140514761,Europe & Central Asia,High income
Grenada,GRD,52.06,52.06,0.0,6585.003407916524,Latin America & Caribbean,Upper middle income
Guam,GUM,44.44,52.35,7.910000000000004,31427.982330473384,East Asia & Pacific,High income
Guatemala,GTM,45.28,32.99,-12.29,2800.6267237988905,Latin America & Caribbean,Upper middle income
Guinea,GIN,29.31,19.77,-9.54,771.2862134998155,Sub-Saharan Africa,Lower middle income
Guinea-Bissau,GNB,80.28,74.67,-5.609999999999999,627.8012860942139,Sub-Saharan Africa,Low income
Guyana,GUY,94.5,93.36,-1.1400000000000006,4831.53513567827,Latin America & Caribbean,High income
Haiti,HTI,13.4,13.5,0.0999999999999996,997.5001049735076,Latin America & Caribbean,Lower middle income
Honduras,HND,68.32,52.38,-15.93999999999999,1681.6355650462046,Latin America & Caribbean,Lower middle income
Hungary,HUN,19.88,22.87,2.990000000000002,10988.321468293561,Europe & Central Asia,High income
Iceland,ISL,0.18,0.61,0.43,48606.48025109835,Europe & Central Asia,High income
India,IND,21.5,24.46,2.960000000000001,1114.969497147248,South Asia,Lower middle income
Indonesia,IDN,61.47,50.71,-10.759999999999998,2283.58424485882,East Asia & Pacific,Upper middle income
Iraq,IRQ,1.85,1.6,-0.25,3414.6536571799274,Middle East & North Africa,Upper middle income
Ireland,IRL,6.7,12.09,5.39,50934.20066999654,Europe & Central Asia,High income
Isle of Man,IMN,6.37,6.44,0.0700000000000002,49641.98746789473,Europe & Central Asia,High income
Italy,ITA,25.67,31.86,6.189999999999998,29905.562869719233,Europe & Central Asia,High income
Jamaica,JAM,48.13,56.91,8.779999999999994,4359.559179894821,Latin America & Caribbean,Upper middle income
Japan,JPN,68.45,68.33,-0.1200000000000045,37670.55180504389,East Asia & Pacific,High income
Jordan,JOR,0.8,0.8,0.0,2804.2547853247547,Middle East & North Africa,Lower middle income
Kazakhstan,KAZ,1.17,1.3,0.1300000000000001,6086.22570676874,Europe & Central Asia,Upper middle income
Kenya,KEN,6.57,6.88,0.3099999999999996,997.1310505656222,Sub-Saharan Africa,Lower middle income
Kiribati,KIR,1.32,1.32,0.0,1338.5449635233656,East Asia & Pacific,Lower middle income
Kuwait,KWT,0.19,0.35,0.1599999999999999,29030.260170458478,Middle East & North Africa,High income
Latvia,LVA,50.99,55.71,4.719999999999999,11354.424856133848,Europe & Central Asia,High income
Lebanon,LBN,13.48,13.81,0.33,5120.612187007364,Middle East & North Africa,Lower middle income
Lesotho,LSO,1.14,1.14,0.0,793.3575202838283,Sub-Saharan Africa,Lower middle income
Liberia,LBR,83.15,65.68,-17.47,419.9930190941393,Sub-Saharan Africa,Low income
Libya,LBY,0.12,0.12,0.0,7830.2888403593515,Middle East & North Africa,Upper middle income
Liechtenstein,LIE,32.5,37.38,4.880000000000003,121047.82323205454,Europe & Central Asia,High income
Lithuania,LTU,31.07,35.4,4.329999999999998,12564.93997494961,Europe & Central Asia,High income
Luxembourg,LUX,33.33,34.45,1.1200000000000043,86444.68495942505,Europe & Central Asia,High income
Madagascar,MDG,23.51,17.05,-6.460000000000001,393.86274563197804,Sub-Saharan Africa,Low income
Malawi,MWI,37.14,21.55,-15.59,441.95302814148977,Sub-Saharan Africa,Low income
Malaysia,MYS,62.76,57.48,-5.280000000000001,7154.3279738948095,East Asia & Pacific,Upper middle income
Maldives,MDV,12.4,12.4,0.0,5915.620820779915,South Asia,Upper middle income
Mali,MLI,11.47,8.59,-2.880000000000001,656.4774103891854,Sub-Saharan Africa,Low income
