log_gdp_fit,gdp_fit,forest_pred
5.271931789641267,194.79189618328272,-9.858290607352142
5.338903407993754,208.28418224170818,-9.586001454828736
5.405875026346241,222.7110132511779,-9.316964267278571
5.472846644698727,238.1371205894387,-9.051179044701655
5.539818263051214,254.6317192615484,-8.788645787097984
5.6067898814037,272.26881845890375,-8.52936449446755
5.673761499756187,291.1275536291831,-8.273335166810362
5.740733118108674,311.29254154715403,-8.020557804126419
5.80770473646116,332.8542599795092,-7.771032406415721
5.874676354813647,355.90945364723495,-7.524758973678267
5.941647973166133,380.5615683070158,-7.281737505914052
6.00861959151862,406.92121489934675,-7.041968003123081
6.0755912098711065,435.10666584592053,-6.805450465305356
6.142562828223593,465.24438572312306,-6.572184892460882
6.20953444657608,497.4695986926943,-6.342171284589639
6.276506064928566,531.926895235547,-6.115409641691642
6.343477683281053,568.7708809110874,-5.891899963766896
6.410449301633539,608.1668700529274,-5.671642250815388
6.4774209199860255,650.2916275135284,-5.454636502837133
6.544392538338513,695.3341617858791,-5.240882719832101
6.611364156691,743.4965730608501,-5.030380901800328
6.678335775043486,794.9949600253533,-4.823131048741793
6.745307393395972,850.0603894699952,-4.61913316065651
6.812279011748459,908.9399330567278,-4.418387237544465
6.8792506301009455,971.8977758983436,-4.220893279405658
6.946222248453433,1039.216401923883,-4.026651286240103
7.013193866805919,1111.1978613485182,-3.835661258047793
7.080165485158405,1188.1651259349157,-3.647923194828728
7.147137103510892,1270.4635381269472,-3.4634370965828936
7.214108721863378,1358.4623605578322,-3.2822029633103114
7.2810803402158655,1452.556432885177,-3.104220795010974
7.348051958568352,1553.1679433868899,-2.929490591684875
7.415023576920838,1660.7483232669372,-2.7580123533320346
7.481995195273325,1775.7802721704218,-2.589786079952418
7.548966813625812,1898.7799239962276,-2.4248117715460538
7.615938431978298,2030.2991627249642,-2.2630894281129343
7.682910050330785,2170.9280986530384,-2.10461904965306
7.749881668683271,2321.2977161433896,-1.9494006361664233
7.816853287035758,2482.082704773038,-1.7974341876530318
7.883824905388245,2654.0044865804207,-1.6487197041128923
7.950796523740731,2837.834452995424,-1.5032571855459906
8.017768142093217,3034.397425975794,-1.361046631952327
8.084739760445704,3244.5753588796006,-1.2220880433319152
8.15171137879819,3469.3112936791254,-1.0863814196847486
8.218682997150678,3709.6135922716853,-0.9539267610108197
8.285654615503164,3966.560460872723,-0.8247240673101288
8.35262623385565,4241.304787791635,-0.6987733385826971
8.419597852208138,4535.079316296723,-0.5760745748284961
8.486569470560624,4849.202175779289,-0.4566277760475401
8.55354108891311,5185.082796034621,-0.3404329422398362
8.620512707265597,5544.228231196331,-0.2274900734053631
8.687484325618083,5928.249921698869,-0.11779916954414915
8.75445594397057,6338.87092460825,-0.011360230656165982
8.821427562323057,6777.933644762584,0.0918267432585651
8.888399180675544,7247.408101411009,0.1917617522000583
8.95537079902803,7749.400767442561,0.28844479616830654
9.022342417380516,8286.164020865268,0.3818758751633098
9.089314035733004,8860.10625094324,0.47205498918506805
9.15628565408549,9473.802664336587,0.5589821382335813
9.223257272437976,10130.006839730166,0.6426573223088496
9.290228890790463,10831.663082795043,0.7230805414108801
9.357200509142949,11581.919636918055,0.8002517955396655
9.424172127495435,12384.142808974248,0.874171084695206
9.491143745847923,13241.932073522808,0.9448384088775015
9.55811536420041,14159.136223196989,1.0122537680865662
9.625086982552896,15139.870637753105,1.0764171623223646
9.692058600905384,16188.535749262284,1.1373285915849394
9.75903021925787,17309.836786296077,1.194988055874262
9.826001837610356,18508.804885695925,1.2493955551903397
9.892973455962842,19790.819666651805,1.3005510895331795
9.959945074315328,21161.63336837753,1.3484546589027673
10.026916692667815,22627.396659685204,1.3931062632991171
10.0938883110203,24194.68623626326,1.434505902722222
10.160859929372789,25870.534329483566,1.472653577172082
10.227831547725275,27662.46025913969,1.5075492866486968
10.294803166077763,29578.504171690198,1.5391930311520667
10.36177478443025,31627.263115385023,1.567584810682206
10.428746402782735,33817.929614140965,1.5927246252390859
10.495718021135222,36160.33291324108,1.614612474822735
10.562689639487708,38664.98308192308,1.633248359433125
10.629661257840194,41343.11817073925,1.6486322790702914
10.69663287619268,44206.754635277015,1.6607642337341915
10.763604494545168,47268.7412524851,1.6696442234248607
10.830576112897655,50542.81677152078,1.675272248142285
10.89754773125014,54043.67155779123,1.6776483078864644
10.964519349602629,57787.01350677684,1.6767724026574058
11.031490967955115,61789.63852338388,1.6726445324550951
11.098462586307601,66069.50588305974,1.6652646972795466
11.165434204660087,70645.81881280456,1.6546328971307531
11.232405823012574,75539.1106536376,1.6407491320087146
11.29937744136506,80771.33699111806,1.6236134019134312
11.366349059717546,86365.97416729837,1.6032257068449098
11.433320678070034,92348.12461612084,1.5795860468031364
11.50029229642252,98744.62949488364,1.5526944217881251
11.567263914775008,105584.18911714159,1.522550831799876
11.634235533127494,112897.49172740504,1.4891552768383747
11.70120715147998,120717.35119543766,1.4525077569036284
11.768178769832467,129078.85424796575,1.4126082719956443
11.835150388184953,138019.51789841193,1.3694568221144152
11.90212200653744,147579.45778101965,1.3230534072599411
