"","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)"
"","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025"
"Svalbard and Jan Mayen Islands","0.00","0.00","0.00","0.00","0.00","0.00","6100.00","6100.00","6099.77","6099.77","6021.17","6021.17"
"Sweden","28063.00","28163.00","28073.00","27980.00","27934.00","27934.00","40733.97","40733.97","40733.97","40731.06","40728.35","40727.00"
"Switzerland","1153.50","1196.18","1234.72","1248.70","1257.86","1267.02","3952.90","3952.40","3951.60","3951.60","3951.60","3950.96"
"Syrian Arab Republic","450.99","460.77","511.98","527.27","527.65","527.81","18378.00","18378.00","18363.00","18363.00","18363.00","18363.00"
"Tajikistan","408.00","410.00","410.00","421.80","423.00","424.50","13996.00","13996.00","13996.00","13879.00","13879.00","13879.00"
"Thailand","20235.00","20165.00","20095.00","20060.00","20337.56","19647.48","51089.00","51089.00","51089.00","51089.00","51089.00","51089.00"
"Timor-Leste","1100.57","1086.57","1072.57","1065.57","1058.57","1054.33","1487.00","1487.00","1487.00","1487.00","1487.00","1487.00"
"Togo","1298.06","1268.46","1238.87","1224.07","1209.26","1224.46","5439.00","5439.00","5439.00","5439.00","5439.00","5439.00"
"Tokelau","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","1.00","1.00","1.00"
"Tonga","8.73","8.73","8.73","8.73","8.73","8.73","72.00","72.00","72.00","72.00","72.00","72.00"
"Trinidad and Tobago","240.90","236.65","232.41","230.29","228.17","226.05","513.00","513.00","513.00","513.00","513.00","513.00"
"Tunisia","643.98","667.84","703.43","704.93","699.00","687.49","15536.00","15536.00","15536.00","15536.00","15536.00","15536.00"
"Türkiye","19783.48","20148.35","21083.08","21630.30","22220.36","22805.76","76963.00","76963.00","76963.00","76963.00","76963.00","76963.00"
"Turkmenistan","2330.00","2330.00","2330.00","2330.00","2330.00","2330.00","46993.00","46993.00","46993.00","46993.00","46993.00","46993.00"
"Turks and Caicos Islands","10.52","10.52","10.52","10.52","10.52","10.52","95.00","95.00","95.00","95.00","95.00","95.00"
"Tuvalu","1.03","1.03","1.03","1.03","1.03","1.03","3.00","3.00","3.00","3.00","3.00","3.00"
"Uganda","4548.03","3400.84","2899.37","2648.64","2508.16","2367.67","19981.00","19981.00","20052.00","20052.00","20052.00","20052.00"
"Ukraine","9274.00","9510.00","9548.00","9700.00","9900.00","10090.00","57935.00","57935.00","57932.00","57929.00","57940.00","57940.00"
"United Arab Emirates","314.77","314.97","319.55","321.22","322.90","324.58","7102.00","7102.00","7102.00","7102.00","7102.00","7102.00"
"United Kingdom of Great Britain and Northern Ireland","2778.00","2954.00","3059.00","3155.00","3215.00","3278.00","24193.00","24193.00","24193.00","24193.00","24193.00","24193.00"
"United Republic of Tanzania","58165.00","54135.00","50105.00","48090.00","45745.00","43400.00","88580.00","88580.00","88580.00","88580.00","88580.00","88580.00"
"United States of America","302450.00","303536.00","308720.00","310095.00","309255.00","308895.00","915896.00","916192.00","914742.00","914742.00","914742.00","914742.00"
"United States Virgin Islands","20.41","19.29","18.43","19.16","19.91","20.66","35.00","35.00","35.00","35.00","35.00","35.00"
"Uruguay","879.44","1336.29","1695.93","1834.39","1932.03","2062.51","17502.00","17502.00","17502.00","17502.00","17502.00","17502.00"
"Uzbekistan","2549.37","2961.46","3349.60","3549.40","3689.00","3894.19","43596.50","43596.50","43589.20","44060.00","44065.00","44065.00"
"Vanuatu","990.89","967.05","943.20","931.28","919.36","907.44","1219.00","1219.00","1219.00","1219.00","1219.00","1219.00"
"Venezuela (Bolivarian Republic of)","50483.58","49231.58","48382.05","47879.23","47334.70","47088.24","88205.00","88205.00","88205.00","88205.00","88205.00","88205.00"
"Viet Nam","9375.96","11784.10","13388.06","14061.86","14677.22","14790.08","31106.00","31106.00","31329.40","31338.30","31342.90","31342.90"
"Wallis and Futuna Islands","9.63","9.14","9.48","9.92","10.37","10.82","14.00","14.00","14.00","14.00","14.00","14.20"
"Western Sahara","605.45","539.54","537.23","539.50","533.21","529.22","26600.00","26600.00","26600.00","26600.00","26600.00","26600.00"
"Yemen","549.00","549.00","549.00","549.00","549.00","549.00","52797.00","52797.00","52797.00","52797.00","52797.00","52797.00"
"Zambia","47412.00","47054.00","46696.00","45755.10","45360.07","44874.29","74339.00","74339.00","74339.00","74339.00","74339.00","74339.00"
"Zimbabwe","16715.38","15658.19","14601.00","14302.67","14031.01","13766.01","38685.00","38685.00","38685.00","38685.00","38685.00","38685.00"
"© FRA 2026","","","","","","","","","","","",""
