Entity,Code,Year,Share of land covered by forest,Share of land covered by forest (Annotations)
Kiribati,KIR,diff_2025_minus_1990,0.0,
Kuwait,KWT,diff_2025_minus_1990,0.15993265000000004,
Kyrgyzstan,KGZ,diff_2025_minus_1990,0.6207510000000003,
Laos,LAO,diff_2025_minus_1990,-5.906583999999995,
Latvia,LVA,diff_2025_minus_1990,4.723765999999998,
Lebanon,LBN,diff_2025_minus_1990,0.332357,
Lesotho,LSO,diff_2025_minus_1990,0.0,
Liberia,LBR,diff_2025_minus_1990,-17.465109999999996,
Libya,LBY,diff_2025_minus_1990,-0.00663242,
Liechtenstein,LIE,diff_2025_minus_1990,4.875,
Lithuania,LTU,diff_2025_minus_1990,4.3342279999999995,
Low-income countries,,diff_2025_minus_1990,-4.830580000000001,
Lower-middle-income countries,,diff_2025_minus_1990,-3.649327999999997,
Luxembourg,LUX,diff_2025_minus_1990,1.1264499999999984,
Madagascar,MDG,diff_2025_minus_1990,-6.454212000000002,
Malawi,MWI,diff_2025_minus_1990,-15.592489,
Malaysia,MYS,diff_2025_minus_1990,-5.277004000000005,
Maldives,MDV,diff_2025_minus_1990,0.0,
Mali,MLI,diff_2025_minus_1990,-2.884067,
Malta,MLT,diff_2025_minus_1990,0.375,
Marshall Islands,MHL,diff_2025_minus_1990,1.7222229999999996,
Mauritania,MRT,diff_2025_minus_1990,0.08924029999999994,
Mauritius,MUS,diff_2025_minus_1990,-1.3920890000000021,
Mexico,MEX,diff_2025_minus_1990,-2.84901,
Micronesia (country),FSM,diff_2025_minus_1990,1.4142849999999925,
Moldova,MDA,diff_2025_minus_1990,1.365157,
Monaco,MCO,diff_2025_minus_1990,0.0,
Mongolia,MNG,diff_2025_minus_1990,-0.1115049999999993,
Montenegro,MNE,diff_2025_minus_1990,14.944237999999999,
Morocco,MAR,diff_2025_minus_1990,-0.012659000000001086,
Mozambique,MOZ,diff_2025_minus_1990,-11.88485,
Myanmar,MMR,diff_2025_minus_1990,-18.574714,
