regions,subregions,iso3,iso2,m49,name,Desk study,year,1a_forestArea,1a_otherWoodedLand,1a_landArea,1b_naturallyRegeneratingForest,1b_primary,1b_plantedForest,1b_plantationForest,1b_plantationForestIntroduced,1b_otherPlantedForest,1b_primaryForestBoreal,1b_primaryForestTemperate,1b_primaryForestSubTropical,1b_primaryForestTropical,1c_bamboos,1c_mangroves,1c_rubber,1e_palms,1e_treeOrchards,1e_agroforestry,1e_treesUrbanSettings,1e_other,2a_gs_ha_nat_reg,2a_gs_ha_primary,2a_gs_ha_introduced,2a_gs_ha_forest,2a_gs_ha_plantation,2a_gs_ha_planted,2a_gs_ha_owl,2a_gs_ha_other_planted,2a_gs_tot_nat_reg,2a_gs_total_primary,2a_gs_total_introduced,2a_gs_tot_planted,2a_gs_tot_plantation,2a_gs_tot_other_planted,2a_gs_tot_forest,2a_gs_tot_owl,2b_native_#1,2b_native_#2,2b_native_#3,2b_native_#4,2b_native_#5,2b_native_#6,2b_native_#7,2b_native_#8,2b_native_#9,2b_native_#10,2b_native_remaining,2b_native_total,2b_introduced_#1,2b_introduced_#2,2b_introduced_#3,2b_introduced_#4,2b_introduced_#5,2b_introduced_remaining,2b_introduced_total,2b_total_gs,2c_agb,2c_bgb,2c_dwb,2c_agb_total,2c_bgb_total,2c_dwb_total,2d_carbon_agb,2d_carbon_bgb,2d_carbon_dw,2d_carbon_litter,2d_carbon_soil,2d_carbon_agb_total,2d_carbon_bgb_total,2d_carbon_dw_total,2d_carbon_litter_total,2d_carbon_soil_total,2d_soil_depth_cm,3a_prim_prod,3a_prim_prot,3a_prim_biodiv,3a_prim_socserv,3a_prim_multi,3a_prim_other,3a_prim_no,3a_prim_unknown,3a_tot_prod,3a_tot_prot,3a_tot_biodiv,3a_tot_socserv,3a_tot_other,3b_protected,3b_forMngt,3b_mngtProt,4a_priv_own,4a_individ,4a_bus_inst_fo,4a_indigenous_fo,4a_pub_own,4a_fo_other,4a_fo_unknown,4b_pub_admin,4b_bus_inst_mr,4b_indigenous_mr,4b_unknown,4b_other,5c_y_n,6a_policies_national,6a_policies_sub_national,6a_legislation_national,6a_legislation_sub_national,6a_platform_national,6a_platform_sub_national,6a_traceability_national,6a_traceability_sub_national,6b_pfe_y_n,6b_pfe_area
"South America","","BOL","BO","068","Bolivia (Plurinational State of)","No","2020","55569.07","13384.37","108330.00","55474.28","","94.79","57.82","","36.97","","","","","","0.00","","","72.18","5.42","2.79","","77.21","","","77.21","","","","","4283.17","","","","","","4290.49","","589.30","283.01","267.78","203.88","131.30","118.25","117.13","113.80","100.13","89.41","2276.50","4290.49","","","","","","","","4290.49","120.14","28.83","","6676.07","1602.06","","56.46","13.55","","","","3137.43","752.96","","","","","28190.63","","10680.19","","","","","16698.25","28190.63","10680.19","","","","13239.63","12661.67","","57.82","","","","55511.25","0.00","0.00","42848.87","4338.01","6600.83","0.00","1723.54","no","yes","no","yes","yes","yes","yes","yes","no","yes","41236.00"
"South America","","BOL","BO","068","Bolivia (Plurinational State of)","No","2025","54370.27","13383.95","108330.00","54254.02","","116.25","69.97","","46.28","","","","","","0.00","","","72.24","5.42","2.79","","77.21","","","77.21","","","","","4188.95","","","","","","4197.93","","","","","","","","","","","","","","","","","","","","","","120.14","28.83","","6532.04","1567.49","","56.46","13.55","","","","3069.75","736.72","","","","","28190.63","","10680.19","","","","","15499.45","28190.63","10680.19","","","","13239.63","14503.25","","","","","","","","","","","","","","no","yes","no","yes","yes","yes","yes","yes","no","yes","41236.00"
"North and Central America","Caribbean","BES","BQ","535","Bonaire, Sint Eustatius and Saba","Yes","1990","4.21","15.34","32.20","4.21","","0.00","0.00","0.00","0.00","","","","","0.00","0.24","0.00","","","","0.45","","","","","","","","","","","","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","","","3.89","","","","","","0.32","","","","","","","","","4.21","","","","","","yes","yes","","yes","","","","","","",""
"North and Central America","Caribbean","BES","BQ","535","Bonaire, Sint Eustatius and Saba","Yes","2000","4.21","15.34","32.20","4.21","","0.00","0.00","0.00","0.00","","","","","0.00","0.24","0.00","","","","0.45","","","","","","","","","","","","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","","","3.89","","","","","","0.32","","","","","","","","","4.21","","","","","","yes","yes","","yes","","","","","","",""
"North and Central America","Caribbean","BES","BQ","535","Bonaire, Sint Eustatius and Saba","Yes","2010","4.21","15.34","32.20","4.21","","0.00","0.00","0.00","0.00","","","","","0.00","0.24","0.00","","","","0.45","","","","","","","","","","","","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","","","3.89","","","","","","0.32","","","","","","","","","4.21","","","","","","yes","yes","","yes","","","","","","",""
"North and Central America","Caribbean","BES","BQ","535","Bonaire, Sint Eustatius and Saba","Yes","2015","4.21","15.34","32.20","4.21","","0.00","0.00","0.00","0.00","","","","","0.00","0.24","0.00","","","","0.45","","","","","","","","","","","","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","","","3.89","","","","","","0.32","","","","","","","","","4.21","","","","","","yes","yes","","yes","","","","","","",""
"North and Central America","Caribbean","BES","BQ","535","Bonaire, Sint Eustatius and Saba","Yes","2020","4.21","15.34","32.20","4.21","","0.00","0.00","0.00","0.00","","","","","0.00","0.24","0.00","","","","0.45","","","","","","","","","","","","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","","","3.89","","","","","","0.32","","","","","","","","","4.21","","","","","","yes","yes","","yes","","","","","","",""
"North and Central America","Caribbean","BES","BQ","535","Bonaire, Sint Eustatius and Saba","Yes","2025","4.21","15.34","32.20","4.21","","0.00","0.00","0.00","0.00","","","","","0.00","0.24","0.00","","","","0.45","","","","","","","","","","","","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","","","3.89","","","","","","0.32","","","","","","","","","","","","","","","yes","yes","","yes","","","","","","",""
"Europe","","BIH","BA","070","Bosnia and Herzegovina","Yes","1990","2210.00","500.00","5120.00","","","","","","","","","","","0.00","0.00","0.00","0.00","","","","","","","","131.67","","","","","","","","","","","291.00","","","","","","","","","","","","","","","","","","","","","","119.82","30.87","","264.80","68.22","","56.32","14.51","","","","124.47","32.07","","","","","","","","","","","","2210.00","","","","","","","","","403.00","","","","1807.00","0.00","0.00","","","","1807.00","","no","no","yes","no","yes","no","yes","no","yes","no",""
"Europe","","BIH","BA","070","Bosnia and Herzegovina","Yes","2000","2111.65","685.99","5120.00","","","","","","","","","","","0.00","0.00","0.00","0.00","","","","","","","","169.54","","","","","","","","","","","358.00","","","","","","","","","","","","","","","","","","","","","","154.28","34.19","","325.79","72.20","","72.51","16.07","","","","153.12","33.93","","","","","","","","","","","","2111.65","","","","","","","","","555.22","","","","1556.43","0.00","0.00","","","","1556.43","","no","no","yes","no","yes","no","yes","no","yes","no",""
"Europe","","BIH","BA","070","Bosnia and Herzegovina","Yes","2010","2102.66","675.60","5120.00","","","","","","","","","","","0.00","0.00","0.00","0.00","","","","","","","","185.15","","","","","","","","","","","389.31","","","","","","","","","","","","","","","","","","","","","","168.49","37.34","","354.28","78.51","","79.19","17.55","","","","166.51","36.90","","","","","","","","","","","","2102.66","","","","","","","","","555.22","","","","1547.44","0.00","0.00","","","","1547.44","","no","no","yes","no","yes","no","yes","no","yes","no",""
"Europe","","BIH","BA","070","Bosnia and Herzegovina","Yes","2015","2160.50","636.64","5120.00","2041.19","","119.31","0.00","0.00","119.31","","","","","0.00","0.00","0.00","0.00","","","","","","","","184.98","","","","","","","0.00","","0.00","","399.66","","","","","","","","","","","","","","","","","","","","","","168.33","37.30","","363.68","80.59","","79.12","17.53","","","","170.94","37.87","","","","","","","","","","","","2160.50","","","","","","","","","571.42","","","","1589.08","0.00","0.00","","","","1589.08","","no","no","yes","no","yes","no","yes","no","yes","no",""
"Europe","","BIH","BA","070","Bosnia and Herzegovina","Yes","2020","2156.88","683.88","5120.00","2043.77","","113.13","0.00","0.00","113.13","","","","","0.00","0.00","0.00","0.00","62.64","","","","","","","224.18","","","","","","","0.00","","0.00","","483.53","","","","","","","","","","","","","","","","","","","","","","169.03","37.46","","364.58","80.80","","79.44","17.60","","","","171.34","37.96","","","","","","","","","","","","2156.88","","","","","","","","","567.04","","","","1589.85","0.00","0.00","","","","1589.85","","no","no","yes","no","yes","no","yes","no","yes","no",""
"Europe","","BIH","BA","070","Bosnia and Herzegovina","Yes","2025","2162.08","682.33","5120.00","2049.48","","112.61","0.00","0.00","112.61","","","","","0.00","0.00","0.00","0.00","62.64","","","","","","","228.02","","","","","","","0.00","","0.00","","493.00","","","","","","","","","","","","","","","","","","","","","","171.93","38.10","","371.73","82.38","","80.81","17.91","","","","174.72","38.72","","","","","","","","","","","","2162.08","","","","","","","","","","","","","","","","","","","","","no","no","yes","no","yes","no","yes","no","yes","no",""
"Africa","Eastern and Southern Africa","BWA","BW","072","Botswana","No","1990","15727.90","26490.60","56673.00","15727.90","","0.00","0.00","0.00","0.00","","","","","0.00","0.00","0.00","0.00","","","","","103.50","","","103.50","","","","","1627.84","","0.00","0.00","0.00","0.00","1627.84","","","","","","","","","","","","","","","","","","","","","","155.25","43.47","","2441.76","683.69","","72.97","20.43","","","","1147.66","321.32","","","","","0.00","0.00","0.00","0.00","15727.90","0.00","0.00","0.00","15727.90","","15727.90","15727.90","","1713.11","1713.11","1713.11","11953.20","0.00","786.40","11166.81","3774.70","0.00","0.00","4512.89","0.00","0.00","-738.19","0.00","yes","yes","yes","yes","yes","yes","yes","no","no","yes","3806.90"
"Africa","Eastern and Southern Africa","BWA","BW","072","Botswana","No","2000","15727.90","26490.60","56673.00","15727.90","","0.00","0.00","0.00","0.00","","","","","0.00","0.00","0.00","0.00","","","","","103.50","","","103.50","","","","","1627.84","","0.00","0.00","0.00","0.00","1627.84","","","","","","","","","","","","","","","","","","","","","","155.25","43.47","","2441.76","683.69","","72.97","20.43","","","","1147.66","321.32","","","","","0.00","0.00","0.00","0.00","15727.90","0.00","0.00","0.00","15727.90","","15727.90","15727.90","","1713.11","1713.11","1713.11","11953.20","0.00","786.40","11166.81","3774.70","0.00","0.00","4228.97","0.00","0.00","-454.27","0.00","yes","yes","yes","yes","yes","yes","yes","no","no","yes","3806.90"
"Africa","Eastern and Southern Africa","BWA","BW","072","Botswana","No","2010","15727.90","26490.60","56673.00","15727.90","","0.00","0.00","0.00","0.00","","","","","0.00","0.00","0.00","0.00","","","","","103.50","","","103.50","","","","","1627.84","","0.00","0.00","0.00","0.00","1627.84","","","","","","","","","","","","","","","","","","","","","","155.25","43.47","","2441.76","683.69","","72.97","20.43","","","","1147.66","321.32","","","","","0.00","0.00","0.00","0.00","15727.90","0.00","0.00","0.00","15727.90","","15727.90","15727.90","","1713.11","1713.11","1713.11","11953.20","0.00","786.40","11166.81","3774.70","0.00","0.00","3945.05","0.00","0.00","-170.35","0.00","yes","yes","yes","yes","yes","yes","yes","no","no","yes","3806.90"
"Africa","Eastern and Southern Africa","BWA","BW","072","Botswana","No","2015","15727.90","26490.60","56673.00","15727.90","","0.00","0.00","0.00","0.00","","","","","0.00","0.00","0.00","0.00","","","","","103.50","","","103.50","","","","","1627.84","","0.00","0.00","0.00","0.00","1627.84","","","","","","","","","","","","","","","","","","","","","","155.25","43.47","","2441.76","683.69","","72.97","20.43","","","","1147.66","321.32","","","","","0.00","0.00","0.00","0.00","15727.90","0.00","0.00","0.00","15727.90","","15727.90","15727.90","","1713.11","1713.11","1713.11","11953.20","0.00","786.40","11166.81","3774.70","0.00","0.00","3803.09","0.00","0.00","-28.39","0.00","yes","yes","yes","yes","yes","yes","yes","no","no","yes","3806.90"
"Africa","Eastern and Southern Africa","BWA","BW","072","Botswana","No","2020","15730.20","26474.50","56673.00","15730.20","","0.00","0.00","0.00","0.00","","","","","0.00","0.00","0.00","0.00","","","","","103.50","","","103.50","","","","","1628.08","","0.00","0.00","0.00","0.00","1628.08","","","","","","","","","","","","","","","","","","","","","","155.25","43.47","","2442.11","683.79","","72.97","20.43","","","","1147.83","321.37","","","","","0.00","0.00","0.00","0.00","15730.20","0.00","0.00","0.00","15730.20","","15730.20","15730.20","","1713.11","1713.11","1713.11","11954.95","0.00","786.51","11168.44","3775.25","0.00","0.00","3237.45","0.00","0.00","537.80","0.00","yes","yes","yes","yes","yes","yes","yes","no","no","yes","3806.90"
"Africa","Eastern and Southern Africa","BWA","BW","072","Botswana","No","2025","15730.20","26474.50","56673.00","15730.20","","0.00","0.00","0.00","0.00","","","","","0.00","0.00","0.00","0.00","","","","","103.50","","","103.50","","","","","1628.08","","0.00","0.00","0.00","0.00","1628.08","","","","","","","","","","","","","","","","","","","","","","155.25","43.47","","2442.11","683.79","","72.97","20.43","","","","1147.83","321.37","","","","","0.00","0.00","0.00","0.00","15730.20","0.00","0.00","0.00","15730.20","","15730.20","15730.20","","1713.11","1713.11","1713.11","","","","","","","","","","","","","yes","yes","yes","yes","yes","yes","yes","no","no","yes","3806.90"
"South America","","BRA","BR","076","Brazil","No","1990","618443.26","49070.03","835814.00","614885.16","262106.50","3558.09","3558.09","3441.80","0.00","0.00","0.00","5493.63","256612.87","5774.34","1517.55","","","","","","","224.79","","","225.06","272.33","272.33","21.98","","138219.95","","","968.98","968.98","0.00","139188.93","1078.49","","","","","","","","","","","","","","","","","","","","","160.41","38.64","10.24","99206.08","23893.96","6331.80","78.67","18.94","5.01","2.22","42.81","48655.57","11715.56","3099.71","1375.34","26477.62","35.00","24122.63","12875.32","51554.98","94916.56","","2476.52","84179.72","348317.53","","","","","","11737.48","11288.28","8495.29","364824.42","","","2390.33","253618.84","0.00","0.00","253618.84","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","374734.50"
"South America","","BRA","BR","076","Brazil","No","2000","560720.37","44929.65","835814.00","557068.17","250757.23","3652.20","3652.20","3536.32","0.00","0.00","0.00","5255.76","245501.47","5673.65","1484.35","","","","","","","231.27","","","231.54","272.33","272.33","22.10","","128833.04","","","994.62","994.62","0.00","129827.66","993.16","","","","","","","","","","","","","","","","","","","","","164.73","39.60","10.37","92365.88","22202.52","5814.47","80.93","19.41","5.08","2.24","43.06","45380.10","10883.81","2846.38","1256.94","24146.29","35.00","28332.34","12875.32","47642.47","111642.93","","2511.81","75203.39","282512.11","","","","","","13137.08","18999.85","9448.75","299188.68","","","2355.72","261531.69","0.00","0.00","261531.69","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","382647.40"
"South America","","BRA","BR","076","Brazil","No","2010","525087.44","41629.75","835814.00","517759.14","236613.25","7328.30","7328.30","6989.00","0.00","0.00","0.00","4959.31","231653.93","5511.84","1399.27","","","","","","","235.49","","","236.00","272.33","272.33","22.23","","121927.23","","","1995.74","1995.74","0.00","123922.97","925.44","","","","","","","","","","","","","","","","","","","","","167.06","40.00","10.42","87719.79","21005.27","5471.05","82.41","19.60","5.10","2.39","43.12","43273.92","10290.76","2678.21","1255.74","22641.73","35.00","35642.45","12875.32","44806.56","126592.31","","2531.87","64566.15","238072.78","","","","","","39001.08","61099.95","31222.97","257135.09","","","2157.39","267952.35","0.00","0.00","267952.33","0.00","0.00","0.02","0.00","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","389068.00"
"South America","","BRA","BR","076","Brazil","No","2015","515508.93","40534.17","835814.00","505570.98","233453.85","9937.94","9937.94","9510.18","0.00","0.00","0.00","4893.09","228560.76","5456.02","1397.55","","","","","","","237.76","","","238.42","272.33","272.33","22.28","","120202.70","","","2706.44","2706.44","0.00","122909.14","903.03","","","","","","","","","","","","","","","","","","","","","169.18","40.46","10.39","87213.90","20859.03","5357.67","83.34","19.82","5.09","2.50","43.30","42963.15","10217.58","2622.69","1287.92","22321.06","35.00","38937.83","12875.32","39743.26","140286.44","","2595.20","65060.69","216010.19","","","","","","44026.19","64588.96","33095.38","239123.57","","","2144.49","276385.37","0.00","0.00","276385.37","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","397501.00"
"South America","","BRA","BR","076","Brazil","No","2020","502366.88","39627.77","835814.00","492741.15","228319.47","9625.73","9625.73","9269.58","0.00","0.00","0.00","4785.47","223533.99","5353.10","1396.07","","","","","","","239.59","","","240.22","272.33","272.33","22.33","","118054.92","","","2621.41","2621.41","0.00","120676.33","885.04","","","","","","","","","","","","","","","","","","","","","170.76","40.84","10.42","85783.85","20517.64","5232.63","84.04","20.01","5.10","2.50","43.44","42221.22","10051.24","2561.47","1254.31","21821.58","35.00","43463.86","12875.32","40870.67","143318.67","","2567.15","55589.82","203681.39","","","","","","46026.19","65025.34","33162.38","226501.69","","","2129.96","275865.19","0.00","0.00","275865.18","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","396980.80"
"South America","","BRA","BR","076","Brazil","No","2025","486086.64","38330.96","835814.00","476873.12","224501.74","9213.50","9213.50","8788.61","0.00","0.00","0.00","4705.46","219796.29","5166.09","1394.68","","","","","","","241.52","","","242.10","272.33","272.33","22.41","","115172.94","","","2509.14","2509.14","0.00","117682.08","858.89","","","","","","","","","","","","","","","","","","","","","172.43","41.24","10.44","83814.71","20047.08","5075.46","84.79","20.21","5.11","2.49","43.58","41215.62","9821.65","2484.52","1212.14","21185.93","35.00","44182.62","12875.32","37857.57","153458.84","","2600.02","52762.55","182349.72","","","","","","47130.24","65148.99","33343.25","","","","","","","","","","","","","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","402429.50"
"North and Central America","Caribbean","VGB","VG","092","British Virgin Islands","Yes","1990","10.00","0.75","15.00","9.99","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","","0.63","","","","","","","123.00","","","123.00","","","","","1.23","","0.00","0.00","0.00","0.00","1.23","","","","","","","","","","","","","","","","","","","","","","210.00","59.00","","2.10","0.59","","98.70","27.73","","","","0.99","0.28","","","","","","0.03","0.00","","0.18","","","9.79","","0.14","0.18","0.18","","0.21","","","","","","","","","10.00","","","","","","no","yes","","yes","","","","","","yes","0.18"
"North and Central America","Caribbean","VGB","VG","092","British Virgin Islands","Yes","2000","9.99","0.74","15.00","9.99","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","","0.18","","","","","","","123.00","","","123.00","","","","","1.23","","0.00","0.00","0.00","0.00","1.23","","","","","","","","","","","","","","","","","","","","","","210.00","59.00","","2.10","0.59","","98.70","27.73","","","","0.99","0.28","","","","","","0.03","0.00","","0.26","","","9.70","","0.14","0.26","0.26","","0.30","","","","","","","","","9.99","","","","","","no","yes","","yes","","","","","","yes","0.26"
"North and Central America","Caribbean","VGB","VG","092","British Virgin Islands","Yes","2010","9.98","0.73","15.00","9.97","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","","0.18","","","","","","","123.00","","","123.00","","","","","1.23","","0.00","0.00","0.00","0.00","1.23","","","","","","","","","","","","","","","","","","","","","","210.00","59.00","","2.10","0.59","","98.70","27.73","","","","0.99","0.28","","","","","","0.03","0.00","","0.26","","","9.69","","0.14","0.26","0.26","","0.30","","","","","","","","","9.98","","","","","","no","yes","","yes","","","","","","yes","0.26"
"North and Central America","Caribbean","VGB","VG","092","British Virgin Islands","Yes","2015","9.97","0.73","15.00","9.96","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","","0.18","","","","","","","123.00","","","123.00","","","","","1.23","","0.00","0.00","0.00","0.00","1.23","","","","","","","","","","","","","","","","","","","","","","210.00","59.00","","2.09","0.59","","98.70","27.73","","","","0.98","0.28","","","","","","0.03","0.00","","0.26","","","9.68","","0.14","0.26","0.26","","0.30","","","","","","","","","9.97","","","","","","no","yes","","yes","","","","","","yes","0.26"
"North and Central America","Caribbean","VGB","VG","092","British Virgin Islands","Yes","2020","9.97","0.73","15.00","9.96","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","","0.18","","","","","","","123.00","","","123.00","","","","","1.23","","0.00","0.00","0.00","0.00","1.23","","","","","","","","","","","","","","","","","","","","","","210.00","59.00","","2.09","0.59","","98.70","27.73","","","","0.98","0.28","","","","","","0.03","0.00","","0.26","","","9.68","","0.14","0.26","0.26","","0.30","","","","","","","","","9.97","","","","","","no","yes","","yes","","","","","","yes","0.26"
"North and Central America","Caribbean","VGB","VG","092","British Virgin Islands","Yes","2025","9.97","0.73","15.00","9.96","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","","0.18","","","","","","","123.00","","","123.00","","","","","1.23","","0.00","0.00","0.00","0.00","1.23","","","","","","","","","","","","","","","","","","","","","","210.00","59.00","","2.09","0.59","","98.70","27.73","","","","0.98","0.28","","","","","","0.03","0.00","","0.26","","","9.68","","0.14","0.26","0.26","","0.30","","","","","","","","","","","","","","","no","yes","","yes","","","","","","yes","0.26"
"Asia","South and Southeast Asia","BRN","BN","096","Brunei Darussalam","No","1990","413.00","43.00","527.00","412.00","313.00","0.67","0.67","0.00","0.00","0.00","0.00","0.00","313.00","","18.42","","","","","","","190.00","224.66","","190.00","190.00","190.00","25.75","","78.28","70.32","0.00","0.13","0.13","0.00","78.47","1.11","","","","","","","","","","","","","","","","","","","","","247.00","59.28","","102.01","24.48","","116.09","27.86","","","","47.95","11.51","","","","30.00","138.03","18.56","28.51","50.42","0.00","0.00","0.00","177.48","","","","","","19.00","","","0.00","0.00","0.00","0.00","413.00","0.00","0.00","413.00","0.00","0.00","0.00","0.00","yes","yes","","yes","","no","","no","","yes","235.44"
"Asia","South and Southeast Asia","BRN","BN","096","Brunei Darussalam","No","2000","397.00","47.00","527.00","396.00","288.00","1.31","1.31","0.00","0.00","0.00","0.00","0.00","288.00","","18.42","","","","","","","190.00","224.66","","190.00","190.00","190.00","25.75","","75.24","64.70","0.00","0.25","0.25","0.00","75.43","1.21","","","","","","","","","","","","","","","","","","","","","247.00","59.28","","98.06","23.53","","116.09","27.86","","","","46.09","11.06","","","","30.00","138.03","18.56","28.51","50.42","0.00","0.00","0.00","161.48","","","","","","19.00","","","0.00","0.00","0.00","0.00","397.00","0.00","0.00","397.00","0.00","0.00","0.00","0.00","yes","yes","","yes","","no","","no","","yes","235.44"
"Asia","South and Southeast Asia","BRN","BN","096","Brunei Darussalam","No","2010","380.00","50.00","527.00","376.29","263.00","3.71","3.71","0.00","0.00","0.00","0.00","0.00","263.00","","18.42","","","","","","","190.00","224.66","","190.00","190.00","190.00","25.75","","71.50","59.09","0.00","0.70","0.70","0.00","72.20","1.29","","","","","","","","","","","","","","","","","","","","","247.00","59.28","","93.86","22.53","","116.09","27.86","","","","44.11","10.59","","","","30.00","138.03","18.56","28.51","50.81","0.00","0.00","0.00","144.09","","","","","","19.00","","","0.00","0.00","0.00","0.00","380.00","0.00","0.00","380.00","0.00","0.00","0.00","0.00","yes","yes","","yes","","no","","no","","yes","235.90"
"Asia","South and Southeast Asia","BRN","BN","096","Brunei Darussalam","No","2015","380.00","50.00","527.00","374.91","263.00","5.09","5.09","0.00","0.00","0.00","0.00","0.00","263.00","","18.42","","","","","","","190.00","224.66","","190.00","190.00","190.00","25.75","","71.23","59.09","0.00","0.97","0.97","0.00","72.20","1.29","","","","","","","","","","","","","","","","","","","","","247.00","59.28","","93.86","22.53","","116.09","27.86","","","","44.11","10.59","","","","30.00","138.03","18.56","28.51","50.81","0.00","0.00","0.00","144.09","","","","","","19.00","","","0.00","0.00","0.00","0.00","380.00","0.00","0.00","380.00","0.00","0.00","0.00","0.00","yes","yes","","yes","","no","","no","","yes","235.90"
"Asia","South and Southeast Asia","BRN","BN","096","Brunei Darussalam","No","2020","380.00","50.00","527.00","374.47","263.00","5.53","5.53","0.00","0.00","0.00","0.00","0.00","263.00","","18.42","","","","","","","190.00","224.66","","190.00","190.00","190.00","25.75","","71.15","59.09","0.00","1.05","1.05","0.00","72.20","1.29","","","","","","","","","","","","","","","","","","","","","247.00","59.28","","93.86","22.53","","116.09","27.86","","","","44.11","10.59","","","","30.00","138.03","18.56","28.51","50.81","0.00","0.00","0.00","144.09","","","","","","19.00","","","0.00","0.00","0.00","0.00","380.00","0.00","0.00","380.00","0.00","0.00","0.00","0.00","yes","yes","","yes","","no","","no","","yes","235.90"
"Asia","South and Southeast Asia","BRN","BN","096","Brunei Darussalam","No","2025","380.00","50.00","527.00","374.20","263.00","5.80","5.80","0.00","0.00","0.00","0.00","0.00","263.00","","18.42","","","","","","","190.00","224.66","","190.00","190.00","190.00","25.75","","71.10","59.09","0.00","1.10","1.10","0.00","72.20","1.29","","","","","","","","","","","","","","","","","","","","","247.00","59.28","","93.86","22.53","","116.09","27.86","","","","44.11","10.59","","","","30.00","138.03","18.56","28.51","50.81","0.00","0.00","0.00","144.09","","","","","","19.00","","","","","","","","","","","","","","","yes","yes","","yes","","no","","no","","yes","235.90"
"Europe","","BGR","BG","100","Bulgaria","No","1990","3327.00","130.00","11063.00","2295.00","157.00","1032.00","0.00","0.00","1032.00","0.00","157.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","122.00","","","122.00","","122.00","","122.00","279.99","","0.00","125.90","0.00","125.90","405.89","","","","","","","","","","","","","","","","","","","","","","108.46","27.70","","360.85","92.16","","50.98","13.02","","","","169.61","43.32","","","","","2365.00","430.00","132.00","222.00","178.00","0.00","0.00","0.00","2365.00","430.00","132.00","222.00","43.00","132.00","3327.00","132.00","0.00","0.00","0.00","0.00","3327.00","0.00","0.00","3327.00","0.00","0.00","0.00","0.00","no","yes","no","yes","no","no","no","yes","no","yes","3327.00"
"Europe","","BGR","BG","100","Bulgaria","No","2000","3375.00","104.00","11063.00","2442.00","270.00","933.00","0.00","0.00","933.00","0.00","270.00","0.00","0.00","0.00","0.00","0.00","0.00","99.00","","","","155.88","","","155.88","","155.88","","155.88","380.66","","0.00","145.44","0.00","145.44","526.10","","","","","","","","","","","","","","","","","","","","","","139.90","33.83","","472.16","114.18","","65.75","15.90","","","","221.91","53.66","","","","","2258.00","433.00","245.00","222.00","217.00","0.00","0.00","0.00","2258.00","433.00","245.00","222.00","40.00","245.00","3230.00","100.00","283.00","264.00","19.00","0.00","3092.00","0.00","0.00","3092.00","0.00","0.00","0.00","0.00","no","yes","no","yes","no","no","no","yes","no","yes","3375.00"
"Europe","","BGR","BG","100","Bulgaria","No","2010","3737.00","24.00","10856.00","2920.00","597.00","817.00","0.00","0.00","817.00","0.00","597.00","0.00","0.00","0.00","0.00","0.00","0.00","73.00","","","","172.69","","","172.69","","172.69","","172.69","504.25","","0.00","141.09","0.00","141.09","645.34","","","","","","","","","","","","","","","","","","","","","","157.63","37.69","","589.06","140.85","","74.09","17.71","","","","276.87","66.18","","","","","2387.00","439.00","572.00","219.00","120.00","0.00","0.00","0.00","2387.00","439.00","572.00","219.00","31.00","572.00","3595.00","430.00","451.00","405.00","46.00","0.00","3286.00","0.00","0.00","3042.00","244.00","0.00","0.00","0.00","no","yes","no","yes","no","no","no","yes","no","yes","3737.00"
