regions,subregions,iso3,iso2,m49,name,Desk study,year,1a_forestArea,1a_otherWoodedLand,1a_landArea,1b_naturallyRegeneratingForest,1b_primary,1b_plantedForest,1b_plantationForest,1b_plantationForestIntroduced,1b_otherPlantedForest,1b_primaryForestBoreal,1b_primaryForestTemperate,1b_primaryForestSubTropical,1b_primaryForestTropical,1c_bamboos,1c_mangroves,1c_rubber,1e_palms,1e_treeOrchards,1e_agroforestry,1e_treesUrbanSettings,1e_other,2a_gs_ha_nat_reg,2a_gs_ha_primary,2a_gs_ha_introduced,2a_gs_ha_forest,2a_gs_ha_plantation,2a_gs_ha_planted,2a_gs_ha_owl,2a_gs_ha_other_planted,2a_gs_tot_nat_reg,2a_gs_total_primary,2a_gs_total_introduced,2a_gs_tot_planted,2a_gs_tot_plantation,2a_gs_tot_other_planted,2a_gs_tot_forest,2a_gs_tot_owl,2b_native_#1,2b_native_#2,2b_native_#3,2b_native_#4,2b_native_#5,2b_native_#6,2b_native_#7,2b_native_#8,2b_native_#9,2b_native_#10,2b_native_remaining,2b_native_total,2b_introduced_#1,2b_introduced_#2,2b_introduced_#3,2b_introduced_#4,2b_introduced_#5,2b_introduced_remaining,2b_introduced_total,2b_total_gs,2c_agb,2c_bgb,2c_dwb,2c_agb_total,2c_bgb_total,2c_dwb_total,2d_carbon_agb,2d_carbon_bgb,2d_carbon_dw,2d_carbon_litter,2d_carbon_soil,2d_carbon_agb_total,2d_carbon_bgb_total,2d_carbon_dw_total,2d_carbon_litter_total,2d_carbon_soil_total,2d_soil_depth_cm,3a_prim_prod,3a_prim_prot,3a_prim_biodiv,3a_prim_socserv,3a_prim_multi,3a_prim_other,3a_prim_no,3a_prim_unknown,3a_tot_prod,3a_tot_prot,3a_tot_biodiv,3a_tot_socserv,3a_tot_other,3b_protected,3b_forMngt,3b_mngtProt,4a_priv_own,4a_individ,4a_bus_inst_fo,4a_indigenous_fo,4a_pub_own,4a_fo_other,4a_fo_unknown,4b_pub_admin,4b_bus_inst_mr,4b_indigenous_mr,4b_unknown,4b_other,5c_y_n,6a_policies_national,6a_policies_sub_national,6a_legislation_national,6a_legislation_sub_national,6a_platform_national,6a_platform_sub_national,6a_traceability_national,6a_traceability_sub_national,6b_pfe_y_n,6b_pfe_area
"Europe","","ALB","AL","008","Albania","No","2020","941.00","256.00","2740.00","","84.80","","","","","0.00","","","0.00","0.00","0.00","0.00","0.00","","","","","","","","55.72","","","20.70","","","","","","","","52.43","5.30","","","","","","","","","","","","","","","","","","","","","41.34","11.84","","38.90","11.14","","19.43","5.57","","","","18.28","5.24","","","","","789.40","127.30","21.20","3.10","0.00","0.00","0.00","0.00","","","","","","173.33","","","22.62","","","","918.38","0.00","0.00","","","","918.38","","","yes","yes","yes","yes","","","","","yes","941.00"
"Europe","","ALB","AL","008","Albania","No","2025","941.00","256.00","2740.00","","84.80","","","","","0.00","","","0.00","0.00","0.00","0.00","0.00","","","","","","","","55.72","","","20.70","","","","","","","","52.43","5.30","","","","","","","","","","","","","","","","","","","","","41.34","11.84","","38.90","11.14","","19.43","5.57","","","","18.28","5.24","","","","","789.40","127.30","21.20","3.10","0.00","0.00","0.00","0.00","","","","","","173.33","","","","","","","","","","","","","","","","yes","yes","yes","yes","","","","","yes","941.00"
"Africa","Northern Africa","DZA","DZ","012","Algeria","No","1990","1714.96","2010.27","238174.00","1464.21","0.00","250.75","0.00","0.00","250.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","78.64","373.67","","","","62.98","","","62.98","","62.98","3.70","62.98","92.22","0.00","0.00","15.79","0.00","15.79","108.01","7.44","","","","","","","","","","","","","","","","","","","","","44.09","14.99","","75.61","25.71","","20.72","7.04","","","38.00","35.53","12.07","","","65.17","30.00","638.00","956.99","117.17","2.80","0.00","0.00","0.00","0.00","638.00","","117.17","","","117.17","0.00","0.00","352.77","","","","1362.19","0.00","0.00","1362.19","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","1714.96"
"Africa","Northern Africa","DZA","DZ","012","Algeria","No","2000","1708.22","2234.06","238174.00","1451.22","0.00","257.00","0.00","0.00","257.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","101.82","368.18","","","","62.98","","","62.98","","62.98","3.70","62.98","91.40","0.00","0.00","16.19","0.00","16.19","107.58","8.27","","","","","","","","","","","","","","","","","","","","","44.09","14.99","","75.32","25.61","","20.72","7.04","","","38.00","35.39","12.03","","","64.91","30.00","633.70","950.55","121.17","2.80","0.00","0.00","0.00","0.00","633.70","","121.17","","","121.17","38.60","38.60","351.39","","","","1356.83","0.00","0.00","1356.83","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","1708.22"
"Africa","Northern Africa","DZA","DZ","012","Algeria","No","2010","1701.47","2457.85","238174.00","1438.22","0.00","263.25","0.00","0.00","263.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","161.09","667.28","","","","62.98","","","62.98","","62.98","3.70","62.98","90.58","0.00","0.00","16.58","0.00","16.58","107.16","9.09","","","","","","","","","","","","","","","","","","","","","44.09","14.99","","75.02","25.51","","20.72","7.04","","","38.00","35.25","11.98","","","64.66","30.00","631.00","946.50","121.17","2.80","0.00","0.00","0.00","0.00","631.00","","121.17","","","121.17","41.34","41.34","350.00","","","","1351.47","0.00","0.00","1351.47","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","1701.47"
"Africa","Northern Africa","DZA","DZ","012","Algeria","No","2015","1698.10","2569.75","238174.10","1431.72","0.00","266.38","0.00","0.00","266.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","166.89","762.75","","","","62.98","","","62.98","","62.98","3.70","62.98","90.17","0.00","0.00","16.78","0.00","16.78","106.95","9.51","","","","","","","","","","","","","","","","","","","","","44.09","14.99","","74.87","25.45","","20.72","7.04","","","38.00","35.18","11.95","","","64.53","30.00","629.65","944.48","121.17","2.80","0.00","0.00","0.00","0.00","629.65","","121.17","","","121.17","35.62","35.62","349.31","","","","1348.79","0.00","0.00","1348.79","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","1698.10"
"Africa","Northern Africa","DZA","DZ","012","Algeria","No","2020","1694.73","2681.65","238174.10","1425.22","0.00","269.51","0.00","0.00","269.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","170.50","763.07","","","","62.98","","","62.98","","62.98","3.70","62.98","89.76","0.00","0.00","16.97","0.00","16.97","106.73","9.92","","","","","","","","","","","","","","","","","","","","","44.09","14.99","","74.72","25.40","","20.72","7.04","","","38.00","35.11","11.93","","","64.40","30.00","623.74","935.60","131.05","4.34","0.00","0.00","0.00","0.00","623.74","","131.05","","","131.05","33.86","33.86","348.61","","","","1346.12","0.00","0.00","1346.12","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","1694.73"
"Africa","Northern Africa","DZA","DZ","012","Algeria","No","2025","1691.36","2793.55","238174.10","1418.72","0.00","272.64","0.00","0.00","272.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","174.60","765.30","","","","62.98","","","62.98","","62.98","3.70","62.98","89.35","0.00","0.00","17.17","0.00","17.17","106.52","10.34","","","","","","","","","","","","","","","","","","","","","44.09","14.99","","74.57","25.35","","20.72","7.04","","","38.00","35.04","11.91","","","64.27","30.00","622.39","933.59","131.05","4.33","0.00","0.00","0.00","0.00","622.26","","131.05","","","131.05","33.86","33.86","","","","","","","","","","","","","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","1691.36"
"Oceania","","ASM","AS","016","American Samoa","No","1990","18.07","0.00","20.00","18.07","7.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.90","","0.06","0.00","","","","","","106.10","","","106.10","","","","","1.92","","0.00","0.00","0.00","0.00","1.92","0.00","","","","","","","","","","","","","","","","","","","","","121.75","29.33","3.87","2.20","0.53","0.07","57.22","13.78","1.82","","","1.03","0.25","0.03","","","","0.00","0.00","0.06","0.00","3.07","0.00","0.00","14.94","","","2.57","2.51","0.00","3.12","3.12","3.12","18.07","0.09","0.00","17.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","no","yes","yes","yes","yes","yes","yes","no","no","yes","3.12"
"Oceania","","ASM","AS","016","American Samoa","No","2000","17.73","0.00","20.00","17.73","5.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.30","","0.05","0.00","","","","","","106.10","","","106.10","","","","","1.88","","0.00","0.00","0.00","0.00","1.88","0.00","","","","","","","","","","","","","","","","","","","","","124.08","29.89","3.95","2.20","0.53","0.07","58.32","14.04","1.86","","","1.03","0.25","0.03","","","","0.00","0.00","0.05","0.00","3.07","0.00","0.00","14.61","","","2.57","2.51","0.00","3.11","3.11","3.11","17.73","0.09","0.00","17.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","no","yes","yes","yes","yes","yes","yes","no","no","yes","3.11"
