"","Policies supporting SFM","Policies supporting SFM","Legislations and regulations supporting SFM","Legislations and regulations supporting SFM","Platform that promotes or allows for stakeholder participation in forest policy development","Platform that promotes or allows for stakeholder participation in forest policy development","Traceability system(s) for wood products","Traceability system(s) for wood products"
"","National","Sub-national","National","Sub-national","National","Sub-national","National","Sub-national"
"Kyrgyzstan","yes","no","yes","no","yes","no","no","no"
"Lao People's Democratic Republic","yes","yes","yes","yes","yes","","",""
"Latvia","yes","no","yes","no","yes","yes","yes","no"
"Lebanon","yes","yes","yes","yes","yes","yes","no","no"
"Lesotho","yes","yes","yes","yes","yes","yes","no","no"
"Liberia","yes","no","yes","no","yes","no","yes","no"
"Libya","yes","no","yes","no","no","no","no","no"
"Liechtenstein","yes","yes","yes","yes","yes","no","yes","yes"
"Lithuania","yes","no","yes","no","yes","no","no","no"
"Luxembourg","yes","no","yes","no","no","no","no","no"
"Madagascar","yes","yes","yes","yes","yes","yes","yes","yes"
"Malawi","yes","no","yes","no","yes","no","no","no"
"Malaysia","yes","yes","yes","yes","yes","yes","yes","yes"
"Maldives","yes","no","yes","no","no","no","no","no"
"Mali","yes","yes","yes","yes","yes","yes","no","yes"
"Malta","yes","no","yes","no","","","",""
"Marshall Islands","no","no","no","no","yes","yes","no","no"
"Martinique","yes","no","yes","no","yes","yes","yes","no"
"Mauritania","yes","yes","yes","yes","no","no","yes","no"
"Mauritius","yes","no","yes","no","yes","no","yes","no"
"Mayotte","yes","no","yes","no","yes","yes","yes","no"
"Mexico","yes","yes","yes","yes","yes","yes","yes","yes"
"Micronesia (Federated States of)","yes","no","no","yes","no","","no",""
"Monaco","no","no","no","no","no","no","no","no"
"Mongolia","yes","yes","yes","yes","no","no","yes","yes"
"Montenegro","yes","yes","yes","yes","yes","yes","no","no"
"Montserrat","yes","no","yes","no","","","",""
"Morocco","yes","yes","yes","yes","yes","yes","no","no"
"Mozambique","yes","no","yes","no","yes","yes","yes","no"
"Myanmar","yes","yes","yes","yes","yes","no","yes","yes"
"Namibia","yes","no","yes","no","yes","no","no","no"
"Nauru","no","no","no","no","no","no","no","no"
"Nepal","yes","no","yes","no","no","no","no","no"
"Netherlands (Kingdom of the)","yes","yes","yes","no","no","no","yes","no"
"New Caledonia","no","yes","no","yes","no","no","no","no"
"New Zealand","yes","yes","yes","no","yes","yes","no","no"
"Nicaragua","yes","no","yes","no","yes","yes","yes","no"
"Niger","yes","yes","yes","yes","yes","yes","yes","no"
"Nigeria","yes","yes","yes","yes","yes","yes","yes","yes"
"Niue","yes","yes","yes","yes","yes","yes","yes","yes"
"Norfolk Island","","","","","","","",""
"North Macedonia","yes","no","yes","no","yes","no","no","no"
"Northern Mariana Islands","","","","","","","",""
"Norway","yes","no","yes","no","yes","no","yes","no"
"Oman","yes","no","yes","no","yes","no","no","no"
